𣷱	eojk
𣿾	eojr
𣳬	eoju
𣺨	eokc
𣻩	eokl
𣺈	eokr
𣶱	eokr
𣲒	eoks
𣼝	eold
𣺫	eolh
𣲤	eoll
𤂛	eolo
𣶗	eome
𣸊	eomi
𣸮	eomi
𣸇	eomk
𣲚	eomm
𤀒	eomp
𣵣	eomr
𣾨	eomu
𣻦	eomw
𣸊	eoni
𣴾	eood
𣺢	eood
𣴳	eoog
𣴶	eoog
𤁺	eoom
𣹥	eoqb
𣻈	eoqq
𣼕	eorb
𤀉	eorb
𣹱	eoro
𣻙	eorr
𣼞	eorr
𣵿	eoru
𣶜	eorv
𣷽	eose
𤃙	eott
𣳈	eou
𣼱	eowb
𤀇	eoyf
𣳁	eoyv
𢗨	ep
𣇹	epa
𣹯	epas
𥁩	epbt
𤃡	epdc
𤂰	epde
𣼋	epdo
𥺜	epfd
𡔆	epg
𣳃	epg
𣳊	epg
𣹒	ephw
𣴈	epjn
𣲢	epk
𤁼	epkd
𤁒	epko
𣻳	epmc
𨢯	epmcw
𩸧	epnwf
𣻰	epog
𣶠	epop
𣶾	epop
𢛜	epp
𢛣	epp
𣸢	epph
𣾫	eppp
𣻉	eptb
𣽒	eptc
𣺷	epub
𣺥	epuu
𣵦	epw
𠬤	eq
𣲬	eq
𣾸	eqao
𤂅	eqbi
𥂆	eqbt
𠬽	eqd
𤁏	eqda
𣳏	eqe
𣴷	eqfh
𤀝	eqfl
𣾗	eqfs
𣵱	eqhg
𣸲	eqhk
𣴜	eqhp
𣸅	eqhr
𣴮	eqi
𣼁	eqine
𣳱	eqjh
𣵮	eqjl
𤅧	eqki
𣻛	eqkx
𣻂	eqlr
𣼌	eqmb
𤁡	eqmj
𣷴	eqmv
𤄵	eqob
𤄴	eqoc
