𣿮	etnk
𣺜	etnm
𤃥	etnt
𣸱	etnu
𣼏	etnu
𤅢	etob
𦴶	etod
𤅩	etof
𣷏	eton
𤁤	etoo
𣷨	etpn
𣴱	etq
𣺸	etqo
𣼑	etrd
𤅞	etre
𤀂	etrk
𣸿	etru
𣽇	etse
𣿯	etse
𤁸	etsh
𤃂	etsi
𤄓	etso
𤁮	etsr
𤂙	ettb
𣾁	ettc
𤄝	etti
𤂇	etvd
𤂋	etvd
𤄶	etvd
𣼥	etvg
𤀟	etvg
𣴭	etvo
𣺾	etvr
𤃿	etwi
𣾇	etwk
𤁊	etwk
𤃫	etwp
𣾟	etwr
𤀐	etyb
𤅖	etyc
𤃴	etyh
𣻿	etyj
𤂍	etyj
𤂧	etyj
𤃓	etym
𣸆	etyp
𣺬	etyu
𣺬	etyv
𤁑	euas
𥁭	eubt
𨧁	euc
𣳒	eue
𣴽	euf
𤏁	euf
𤉠	euf
𡒖	eug
𤄔	eugi
𣶎	euha
𪃂	euhaf
𧖶	euhbt
𣶧	euhe
𤀖	euhi
𣺿	euhj
𣾧	euid
𣿄	euih
𣳸	euku
𣵙	euln
𣳫	eumg
𣵭	eumg
𥒟	eumr
𣷰	eumr
𣵘	eumu
𣵵	eune
𣽵	eunm
𣲸	euns
𣼍	euob
𤂃	euobm
𦤢	euomb
𪛎	euomb
𣶟	euov
𣿗	eusk
𣹵	eusu
𣾚	eutn
𤅐	eutt
𤅿	eutt
𤀻	euud
𣹨	euun
𢿚	euye
𣷪	euyg
𤀆	euyt
𡚩	ev
𣶄	evbn
𣽮	evbu
𣸏	eveq
𣿍	evet
𤁗	evfb
𣻀	evfb
𣷕	evfe
𤀼	evfe
𤅇	evff
