𦐺	fbsmm
𩠦	fbthu
𤌯	fbtk
𤎏	fbto
𥃻	fbu
𧴪	fbuc
𤋀	fbuk
𤐣	fbul
𡜽	fbv
𤌳	fbvk
𠹉	fbvra
𤓡	fbwe
𡮝	fbwfg
𡓪	fbwgg
𡭵	fbwl
𤋠	fbwl
𢼼	fbye
𡔇	fcg
𤌏	fcim
𠝿	fcln
𧺄	fcnot
𡙅	fcom
𨆜	fcryo
𤆶	fcsh
𩧔	fcsqf
𣀰	fcye
𣀲	fcye
𡭢	fd
𣏦	fd
𥺰	fdad
𥻵	fdagi
𥻡	fdahu
𥼴	fdana
𥽭	fdanw
𥻉	fdapv
𥺸	fdaua
𥻩	fdbac
𥺍	fdbcj
𥺂	fdbcr
𥹽	fdbdi
𤓄	fdbe
𥺝	fdbgr
𥺎	fdbmc
𥺲	fdbsd
𥹣	fdbt
𥹤	fdbtt
𥻠	fdbuh
𥻺	fdbvk
𥸻	fdby
𥺻	fdc
𥺀	fdcnh
𥹲	fdcru
𤊩	fdd
𥻗	fddam
𤏗	fddd
𥽍	fdddf
𥽢	fdddk
𤐖	fddf
𩏸	fddgf
𥹖	fddhe
𥺚	fddhl
𤓭	fddi
𤓣	fddi
𥹵	fddl
𥻃	fddln
𥽾	fddwa
𥻂	fddwf
𥸩	fde
𥼔	fdedl
𣜩	fdefd
𤏂	fdf
𥹶	fdfb
𥽻	fdfbf
𥼽	fdfbw
𥹫	fdfd
𥼬	fdfd
𥼭	fdfdq
𥺇	fdfdv
𥹿	fdfg
𥻕	fdfjd
𥹥	fdfsm
𥺙	fdgce
𥹩	fdgdi
𥹓	fdgi
𥺃	fdgp
𪀿	fdhaf
𥻷	fdhaj
𥹝	fdhbr
𥼄	fdhdd
𥹾	fdhej
𥹪	fdheq
𥺢	fdhew
𥽊	fdhfu
𥼹	fdhge
𥺊	fdhgr
𥻝	fdhjg
𥼱	fdhkb
𥸱	fdhn
𥺵	fdhnb
𣪿	fdhne
