𪚱	fnxu
𡗑	fnyrv
𤋟	foae
𤌍	fobg
𧶦	fobuc
𤇧	fog
𤎱	fogs
𤇪	fohh
𤉔	fohs
𤒯	foim
𣙂	foird
𤈒	foju
𤐯	fomb
𤓀	fomb
𩕈	fombc
𤈷	fomm
𡑯	fomo
𧼧	fonui
𤎳	fooa
𤉛	foog
𤏥	foog
𤒦	fook
𤑯	foon
𤈰	foos
𤍺	foos
𤆢	fop
𤆷	fop
𤍼	forb
𤏬	forn
𤍸	forr
𢖿	fp
𤆇	fp
𤆸	fp
𤈎	fpa
𤎙	fpal
𡭶	fpbm
𤇩	fph
𤆞	fphh
𤆥	fpim
𤆥	fpmm
𤇹	fppj
𤆻	fpsh
𤈤	fpuk
𠦯	fqav
𥁠	fqbt
𥻋	fqc
𠝂	fqcsh
𤈞	fqd
𤒛	fqdi
𩏗	fqdmq
𣳾	fqe
𠦻	fqgce
𪆞	fqhaf
𪀲	fqhaf
𤏦	fqhf
𡔨	fqhg
𡭉	fqhhi
𤋸	fqhk
𣃌	fqhml
𣭮	fqhqu
𤡩	fqik
𡰚	fqiku
𤑡	fqjp
𤊴	fqjr
𤏆	fqkd
𤋷	fqkk
𤊡	fqkq
𣇃	fqla
𩕔	fqmbc
𩕶	fqmbc
𤍊	fqmf
𤐭	fqmi
𣫶	fqmj
𧯦	fqmrt
𦧾	fqnj
𨞧	fqnl
𠄈	fqnn
𠔉	fqo
𤆮	fqo
𤏖	fqoa
𩏶	fqogf
𩏷	fqogf
𢿻	fqok
𥏇	fqok
𤎺	fqoo
𢘤	fqp
𨚚	fqrau
𨞁	fqrau
𠲑	fqrns
𦒪	fqsmm
𢍊	fqt
𩁫	fqtrg
𤆚	fqu
𦧿	fqu
𡮍	fquu
𡛤	fqv
𤏞	fqvv
𥻘	fqvvv
𤱵	fqw
𧙯	fqyhv
