𡮁	fwt
𤒹	fwtj
𤍶	fwvf
𤌖	fwwy
𤒀	fwyhn
𡓢	fxoog
𤆊	fy
𤐚	fyao
𤋺	fybc
𤊰	fyce
𤍪	fydl
𤆝	fye
𥽑	fyfd
𤉮	fyfr
𤒄	fyhc
𤋛	fyhr
𤓋	fyhs
𤉬	fyid
𣁂	fyk
𤎠	fymm
𤉘	fymr
𤊂	fynn
𤋋	fyok
𡮲	fyri
𤑴	fyrj
𤈽	fyrn
𤐶	fyro
𤏣	fyry
𤍣	fysg
𤊦	fysk
𤉪	fysy
𤇥	fyt
𤋾	fyta
𤈼	fytj
𤍤	fytj
𤐹	fytt
𤓠	fywl
𤒱	fyxf
𤑦	fyyb
𡉭	ga
𠙓	gahn
𡑆	gamg
𡒧	gaml
𡍜	gan
𡓲	ganm
𡕌	gant
𡎣	gasr
𡌕	gau
𡑦	gaws
𡐹	gayf
𡔒	gayv
𡉅	gb
𣅾	gba
𡊢	gbbm
𡕄	gbbt
𡔵	gbbu
𨪄	gbc
𡔴	gbcb
𡑕	gbcd
𡏯	gbck
𡍫	gbcn
𩎲	gbcq
𡓫	gbcv
𧥆	gbdl
𡏪	gbed
𡔹	gbgt
𡔻	gbha
𡐐	gbhb
𡒩	gbhd
𡐮	gbhf
𡍛	gbhg
𡊬	gbhm
𣪎	gbhne
𣪗	gbhne
𣪛	gbhne
𣫅	gbhne
𣪚	gbhne
𡍦	gbjj
𡑋	gbkf
𡔮	gbkne
𡔱	gblk
𠠄	gbln
𡔩	gblu
𡉉	gbm
𢅍	gbmb
𩑺	gbmbc
𥞤	gbmd
𡔸	gbmg
𦤼	gbmg
𡔺	gbmi
𡉱	gbmm
𡔾	gbmm
𣨑	gbmp
𡕎	gbmr
𥑟	gbmr
𣩉	gbmt
𡎽	gbnd
𨚗	gbnl
𨜤	gbnl
𣙲	gbod
