𥡮	gdksr
𡓒	gdlc
𡊖	gdm
𥢙	gdmbc
𣤷	gdno
𢽓	gdok
𢿰	gdok
𡒫	gdtb
𥢇	gdtdl
𡉺	ge
𡌩	gea
𣍆	gea
𣫙	gead
𪔚	gebmr
𥂎	gebt
𥊧	gebu
𥌒	gebu
𣖫	ged
𣝝	gedl
𩏜	gedmq
𪍠	gedoe
𪍱	gedoe
𪔬	gedt
𣼘	gee
𪔦	geebr
𥢮	geed
𪔱	geell
𥼆	gefd
𡎷	geg
𡒢	geg
𡒼	geg
𪔋	geg
𪔮	gegit
𧹷	geglc
𪔰	gegte
𪆑	gehaf
𪆪	gehaf
𪇀	gehaf
𪇂	gehaf
𪇗	gehaf
𪇞	gehaf
𪈞	gehaf
𪅏	gehaf
𥡛	gehd
𤯒	gehdt
𪐕	gehdt
𪔞	gehej
𪔢	gehem
𪔔	geheq
𥀷	gehhj
𣫘	gehhl
𡐘	gehm
𣹬	gehne
𥀎	gehne
𤚼	gehq
𤛖	gehq
𤛗	gehq
𤛓	gehq
𣰺	gehqu
𪕷	gehxv
𠭐	gehym
𡅦	gehyr
𡏜	geih
𥀻	geihf
𪔯	geihf
𥀽	geihp
𪔩	geihr
𤠼	geik
𣫝	gejcm
𪔣	gejcm
𪍠	gejoe
𪍱	gejoe
𡄒	gejpr
𣫊	gejr
𪔐	gejr
𢤶	gejrp
𪔵	gejtc
𪔭	gejto
𠡭	geks
𣪤	geks
𧐡	geli
𧏌	gelmi
𧐜	gelmi
𪔖	gelmi
𪔛	gelmo
𩓊	gembc
𨢋	gemcw
𨢤	gemcw
𪔎	gemmi
𥔼	gemr
𥖗	gemr
𥖫	gemr
𥗣	gemr
𪔑	gemr
𧲇	gemso
𪔟	gemso
𣫒	gemvm
𣫆	gemym
𢐙	gen
𧤴	genbg
