𥀂	gidhe
𤍽	gif
𤍠	gif
𠫴	gifh
𡓾	gift
𡋀	gifu
𡎃	gig
𡕮	gigce
𠬑	gigii
𠞗	gigin
𡓜	gigw
𩿟	gihaf
𩿹	gihaf
𪇘	gihaf
𤳗	gihfw
𤳛	gihfw
𠬈	gihhj
𡍓	gihi
𡍓	gihm
𣫐	gihne
𧎅	gihne
𧏚	gihne
𡊾	gihp
𤙏	gihq
𡋡	gihv
𡒷	gihw
𪚸	gihxu
𡍌	gii
𠬃	giijb
𡑐	giip
𡊸	gij
𡌋	gije
𢻝	gije
𨎌	gijwj
𨎐	gijwj
𡉩	gik
𢄢	gilb
𡐓	gile
𡌺	gili
𠬕	gilib
𠬖	gilib
𧐨	gilmi
𧓤	gilmi
𡌻	gilo
𩕯	gimbc
𦥎	gimig
𠅀	gimmi
𠳌	gimnr
𡒤	gims
𤭩	gimvn
𤮅	gimvn
𡓊	gine
𠫳	ginhe
𠫾	ginin
𨚫	ginl
𨞪	ginl
𣤫	gino
𩻉	ginwf
𪚸	ginxu
𤴢	ginyo
𡎻	giog
𣀘	giok
𢟯	gip
𡒲	gipg
𢫀	giq
𩇘	giqmb
𡒅	giqr
𨄧	giryo
𡉴	gis
𡎚	gisb
𠠐	gishi
𦗙	gisj
𡊯	git
𢍠	git
𡍨	gite
𡍊	gitg
𡍔	gitj
𦎷	gitq
𡍩	gitu
𡠗	giv
𡠦	giv
𦀂	givif
𦂌	givif
𡏂	giwg
𡐝	gixf
𡓔	giyd
𣀓	giye
𧛜	giyhv
𧜼	giyhv
𣁞	giyk
𡌽	giyr
𠬇	giyrf
𡈿	gj
𡏉	gjav
𡋯	gjbd
𡎜	gjbj
𡔍	gjcc
𡋉	gjcn
𡑛	gjcr
𡑣	gjcu
