閔	anyk
閙	anylb
誾	anymr
閼	anysy
閚	anyt
闇	anyta
閡	anyvo
韙	aodmq
尟	aofh
鶗	aohaf
昣	aohh
昤	aoii
昑	aoin
晗	aoir
旿	aoj
題	aombc
题	aombo
暣	aond
匙	aop
晔	aopj
韪	aoqs
昨	aos
晦	aowy
鵾	aphaf
易	aphh
昒	aphh
旳	api
昀	apim
旳	apm
昀	apmm
暅	apmm
昆	app
鹍	appym
昫	apr
旽	apu
曷	apvo	apv'o
晣	aqhl
暳	aqjm
暳	aqjs
暙	aqka
晴	aqmb
照	arf
煦	arf
冔	armd
暺	arrj
曮	arrk
暇	arse
曯	asei
煚	asf
旫	ash
昭	ashr
最	asje
朂	asjs
曜	asmg
昵	asp
昛	ass
暱	astr	as'tr
暯	atak
晪	atbc
曚	atbo
显	atc
晎	atc
曗	atcd
暴	atce
謈	atcr
曦	atgs
暪	atlb
曂	atlc
曣	atlf
暎	atlk
暵	atlo
曄	atmj
曅	atmj
暛	atqm
曔	atrk
巴	au
旵	au
暨	auam
塈	aug
鶥	auhaf
毷	auhqu
勖	auks
暟	aumt
郿	aunl
鱀	aunwf
鹛	aupym
巼	aurp
岊	auu
昢	auu
曓	auuj
艮	av
妟	av
垦	avg
鶡	avhaf
鷃	avhaf
鷐	avhaf
曏	avhl
毼	avhqu
歇	avno
恳	avp
