𧽀	gobuk
𧼊	gobuu
𧺍	goc
𧺭	goci
𧺮	gocsh
𧻕	godb
𧾬	godbe
𧼕	godbn
𧺘	godi
𧼛	godoo
𧼓	godw
𧺉	goe
𧺵	goe
𧻯	goedk
𧻟	goemn
𧺩	gof
𡊒	gof
𧾢	gofgi
𧽟	gofog
𧺾	gofq
𧼚	gofqu
𧺑	gog
𧺔	gog
𧼔	gogce
𪅧	gogf
𧺷	gogi
𧽭	gogog
𧾜	gogoo
𧽓	gogro
𧽚	gogrv
𡓋	gogu
𧾥	gogwc
𧼂	gogyo
𧼣	gohab
𧼷	gohae
𧽪	gohaf
𧻮	gohbe
𧻖	gohby
𧽂	gohda
𡕲	gohe
𧻰	gohgr
𧾅	gohhd
𧽖	gohhw
𧾶	gohii
𧺛	gohj
𧼩	gohjg
𧼶	gohju
𧼰	gohjx
𧾓	gohkm
𧾁	gohky
𧻽	gohli
𡌠	gohm
𧺋	gohn
𣪳	gohne
𣫔	gohne
𧺢	gohne
𧾟	gohog
𧾘	gohok
𧻥	gohon
𧾦	gohon
𧽵	gohoo
𡌖	gohq
𧻊	gohqm
𧽋	gohrf
𧾐	gohsk
𧾫	gohub
𧽒	gohuk
𧼆	gohvf
𧼠	gohwj
𧾚	gohxc
𧽏	gohxe
𧾴	gohxf
𧼅	gohxh
𧺱	goi
𧻴	goiav
𧺶	goid
𧻐	goiei
𧻗	goihm
𧽗	goiil
𧾋	goiip
𧻷	goijb
𧺶	goijc
𧻱	goije
𧻪	goik
𧺺	goike
𧽶	goikf
𧺺	goikk
𧻧	goimj
𡑨	goio
𧾒	goioc
𡌢	goir
𧽮	goirg
𧼑	goirm
𧾔	goirp
𧼳	goitu
𧾡	goiwg
𧽥	goixp
𧽴	goiyr
𡉦	goj
𧺡	gojb
