𧽍	gojbc
𧼭	gojce
𧾠	gojce
𧻇	gojd
𧽢	gojii
𧾂	gojji
𧽯	gojjl
𧻩	gojkp
𧽔	gojme
𧾨	gojqp
𧽽	gokcf
𡒭	gokf
𧼃	gokhf
𧻺	gokhg
𧾞	gokig
𧻶	gokkb
𧼡	gokkb
𧼎	goklu
𧼎	goklv
𧼘	gokmr
𧺎	gokn
𧻑	gokn
𧻆	goknh
𧽑	gokok
𧻵	gokoo
𧻒	gokss
𧺟	golbu
𧺈	goll
𧻉	golw
𧻭	golwp
𧽷	golx
𡑭	goma
𧻙	goma
𧻚	gomam
𧾤	gombe
𧼉	gombm
𧾮	gombr
𡌘	gomd
𧻈	gomfj
𧻳	gomfr
𡋄	gomg
𧼤	gomgn
𧽺	gomhd
𡋗	gomi
𧼰	gomjx
𧻀	gommj
𧺗	gommn
𡉛	gomn
𧺰	gomni
𧾒	gomoc
𧻿	gomrt
𧼙	gomso
𧽸	gomto
𧼞	gomtu
𧺦	gomvi
𧽘	gomvi
𧺳	gomvm
𧽤	gomwf
𧽆	gomwg
𧾇	gomwi
𧽼	gomwj
𧼸	gomwl
𧺒	gomy
𧽞	gomyf
𧺪	gomys
𧾣	gonbe
𧽄	gonbn
𧺙	gond
𧻦	gone
𧼇	gone
𧽻	gonhb
𧻹	gonib
𧺥	gonin
𧻏	goniy
𧼟	gonla
𧼢	gonme
𧼵	gonmk
𧼾	gonmp
𧻜	gonmu
𧺐	gonnm
𧺖	gonnm
𧺓	gono
𧾊	gonot
𧻞	gonsd
𧼏	gonyi
𧺌	goo
𧼱	gooae
𧺬	goob
𧷀	goobc
𧻣	goobo
𡌚	goog
𡑊	goog
𡑗	goog
𧺴	gooj
𧻝	gooje
𧽳	gookg
𧻁	goom
𧻤	goomg
𧻋	goomi
𧺞	goomn
