𧰋	gttxc
𠃸	gtu
𡔷	gtue
𩙏	gtuen
𧰀	gtuer
𧰠	gtvvv
𡐋	gtwa
𧰒	gtwim
𡏊	gtxc
𡐽	gtyd
𢾩	gtye
𡓄	gtyj
𡉆	gu
𥋈	gubu
𧢬	gubuu
𡒇	guce
𡓌	guck
𧹅	gucsc
𡭄	gudi
𡉵	gug
𡋰	gughu
𠜩	gugn
𠓘	gugrr
𠒶	guguu
𣪹	guhne
𣫁	guhne
𡓖	guihs
𡏓	guip
𨍔	guju
𠢩	guks
𧑣	gulmi
𠟋	guln
𦧄	gultt
𡎕	gume
𡎅	gumf
𡗉	gunin
𣤟	guno
𣤶	guno
𣤺	guno
𡐇	guob
𩀸	guog
𢿲	guok
𡔥	gut
𢍇	gut
𡣅	guv
𢿣	guye
𪙓	guymu
𡉓	gv
𡔖	gvfk
𪕸	gvhne
𡊮	gvhv
𡋔	gvif
𩔭	gvmbc
𡎭	gvmu
𡎗	gvnn
𡐫	gvvb
𡏮	gvvd
𡐕	gvvj
𡒏	gvvv
𡓍	gvvv
𡍗	gvvw
𡊰	gw
𧷗	gwbc
𪉩	gwbt
𧶠	gwcc
𤎪	gwf
𡑰	gwgv
𡌨	gwhj
𣫈	gwhne
𠢳	gwks
𡊠	gwl
𡐎	gwlg
𡕈	gwlm
𡕍	gwlm
𠟩	gwln
𡔰	gwlo
𤴞	gwlo
𡌣	gwlp
𡓁	gwlp
𡕃	gwlt
𡑡	gwlv
𩕡	gwmbc
𡌸	gwml
𡔶	gwmm
𡍐	gwny
𡋙	gwr
𡌹	gwt
𡐢	gwtc
𡏱	gwvf
𡔁	gwwg
𢿿	gwye
𡍎	gyaj
𡑟	gybb
𡎞	gybc
𡔎	gybk
𡐁	gybm
𡉽	gyc
𡍣	gyce
𡋟	gyck
𡌮	gyfr
