𡊲	gyg
𡐿	gygj
𡓰	gygs
𡎑	gyhh
𡑌	gyia
𡍕	gyid
𡊔	gylb
𡐡	gyle
𡒌	gylr
𡒾	gymi
𡍍	gymm
𡐌	gymo
𡏨	gypa
𡎍	gypb
𡍥	gypd
𡎪	gypg
𡑾	gypk
𡐸	gypo
𡎵	gypr
𡔋	gyqe
𡌿	gyrf
𡓑	gyrj
𡓣	gyrj
𡏿	gyrl
𡐒	gyru
𡌧	gysy
𡑞	gyto
𡏡	gytu
𡏤	gytu
𡊨	gyvi
𡐴	gywb
𡒄	gywf
𤎆	gywg
𡍠	gywm
𡏁	gywr
𥫗	h
𥷍	haac
𤾉	haamh
𥯋	hab
𩡣	habbe
𩡖	habbe
𤿃	habbi
𤾡	habhf
𤾈	habjj
𥅉	habu
𥵒	habu
𤾽	habwl
𤾜	habys
𩡓	hacim
𢕊	hacms
𧯄	hacor
𤽉	hacsh
𤾥	hacwa
𣐩	had
𩠽	had
𩠿	hadj
𤾯	haetb
𤽈	haf
𩡢	haf
𤽄	haf
𩡈	hafb
𩡡	hafbk
𩡅	hafd
𤾃	haff
𥶩	hafh
𤾵	hafkt
𤽔	hafm
𥭧	hag
𥱯	hagi
𤾐	hagqp
𤾏	hahad
𣹻	hahae
𪂆	hahaf
𪅉	hahaf
𤾍	hahaj
𤾪	hahak
𤾎	hahaq
𤽪	hahau
𩡄	hahd
𩡐	hahda
𩡇	hahej
𤽥	haher
𤽹	hahhj
𤾁	hahhj
𤽡	hahio
𤽇	hahlu
𤽇	hahlv
𥣉	hahmb
𣃑	hahml
𪉎	hahsm
𤿀	hahuc
𤾚	hahud
𩲸	hahui
𩡗	hahuk
𣰗	hahuu
𤾆	hahxu
𤾇	hahxu
𥰐	haib
𥁬	haibt
𤽭	haice
