𩙾	hfnoo
𩹤	hfnwf
𪛁	hfnxu
𩿴	hfny
𦠂	hfobo
𪆄	hfogf
𪄩	hfogj
𪆳	hfogs
𢿔	hfok
𩾴	hfoll
𥷡	hfoo
𩾙	hfp
𩾽	hfp
𪀠	hfpa
𪁷	hfphu
𥭓	hfpi
𩾡	hfpi
𩿖	hfpim
𩿖	hfpmm
𪀊	hfpr
𪄞	hfpuu
𪄈	hfqkd
𪃆	hfqkk
𪄻	hfqkx
𪂴	hfqmb
𥷖	hfqn
𪁗	hfrau
𪁨	hfrau
𪆬	hfrmr
𪔁	hfrxu
𨃾	hfryo
𩿋	hfshh
𩾓	hfsl
𪂋	hfsmb
𡳽	hfsmg
𪅡	hfsmh
𪇊	hfsrj
𪀏	hfss
𩾩	hfsu
𡖀	hfsye
𪇐	hftbk
𥰲	hftc
𪇨	hfteb
𪁸	hftgu
𪈙	hfthj
𪇅	hftir
𪄦	hftod
𪁸	hftqu
𪈩	hftrg
𪃞	hftw
𪇌	hftwv
𥤠	hftxu
𩾐	hfu
𪇋	hfuhi
𪇷	hfurj
𦂎	hfvif
𪅹	hfvii
𪅹	hfvik
𪂯	hfvjr
𪅦	hfwim
𩿼	hfwl
𪀌	hfwl
𪇆	hfwli
𪂱	hfyaj
𪇍	hfybb
𪁉	hfyck
𥰌	hfyi
𩿚	hfyj
𪈶	hfyjk
𣦑	hfylm
𣦘	hfylm
𪈒	hfypt
𪂎	hfyrd
𪇥	hfysc
𪄟	hfysy
𪆏	hfytg
𪄧	hfytu
𪀺	hfyv
𠂒	hg
𡈼	hg
𥫦	hg
𥭺	hgah
𢩤	hgawe
𨤼	hgayv
𥬕	hgb
𨤯	hgbmr
𧠒	hgbuu
𨧭	hgc
𨪔	hgc
𥸚	hgcu
𥵠	hgde
𡚆	hgdk
𤋱	hgf
𧸬	hgfbc
𡮶	hgfbr
𥶾	hgfe
𥷆	hgfe
𡋩	hgg
𪃫	hghaf
𤾲	hghaj
