𢕒	hoyre
𧗳	hoyrn
𢖊	hoyrs
𤬞	hoyrv
𢕐	hoyso
𢓔	hoyt
𢓫	hoytj
𢕎	hoytj
𢕔	hoytj
𦦦	hoyv
𦦭	hoyv
𢕹	hoywk
𥯗	hpac
𥰿	hpad
𧓢	hpali
𥰴	hpas
𥄇	hpbu
𥄤	hpbu
𣝟	hpd
𥲾	hpdq
𥮗	hpfd
𡮓	hpfh
𠒸	hpfmu
𥰬	hpgj
𪀻	hphaf
𪃼	hphaf
𪄆	hphaf
𦧰	hphjr
𠃤	hphlu
𥬼	hphn
𥭂	hphn
𣪘	hphne
𣪜	hphne
𠂩	hphp
𥯚	hphr
𪉔	hphsm
𩱾	hphui
𤫪	hphvo
𥫩	hpi
𥬉	hpi
𤟀	hpik
𪈅	hpjf
𥶗	hpkd
𥫷	hpkn
𤬎	hpkpb
𧎪	hplii
𧖕	hplii
𧉜	hplmi
𠛊	hpln
𠝍	hpln
𠞇	hpln
𠞹	hpln
𩑒	hpmbc
𩑥	hpmbc
𩔙	hpmbc
𩔨	hpmbc
𩕄	hpmbc
𤇡	hpmf
𦧰	hpmjr
𣱋	hpmki
𧐏	hpmli
𢏒	hpnhh
𨛽	hpnl
𨝄	hpnl
𣢎	hpno
𣢔	hpno
𣢼	hpno
𨾛	hpog
𥮽	hpou
𢗪	hpp
𠣔	hpphh
𢥷	hppko
𥳝	hppp
𠯑	hpr
𤬕	hprhu
𦕌	hpsj
𠨝	hpsl
𦥑	hpsm
𥱎	hptb
𤯁	hptm
𡹁	hpu
𥫱	hpu
𢿹	hpude
𥶈	hpue
𢾱	hpye
𢾽	hpye
𥬿	hpym
𥬄	hq
𤛁	hqabt
𤚤	hqahu
𤙰	hqami
𨷶	hqan
𤛞	hqanh
𥳳	hqao
𤚺	hqasm
𤜈	hqatr
𤜌	hqaud
𤛔	hqawe
𦙚	hqb
𤚱	hqbbb
