𣭬	huhef
𪚽	huhey
𩲆	huhhh
𦤌	huhhv
𣭛	huhio
𣭪	huhjr
𦧗	huhjr
𣬠	huhn
𦤂	huhne
𣪦	huhne
𥤒	huhoc
𣰒	huhok
𣰓	huhok
𣰪	huhok
𩴰	huhok
𠒣	huhon
𣯪	huhoo
𥢑	huhor
𣬳	huhq
𦤛	huhqj
𣮚	huhqq
𣭟	huhqu
𣭡	huhqu
𣯦	huhqu
𣰴	huhqu
𣯑	huhrf
𡼻	huhrr
𣬜	huhu
𥼛	huhud
𤄳	huhue
𩳈	huhui
𦤫	huhul
𠓙	huhuu
𣯝	huhuu
𣮐	huhwj
𣯜	huhxe
𣯁	huhxo
𪕻	huhxu
𥢑	huhyr
𣰳	huhyu
𢧕	hui
𠪻	huibi
𣭍	huid
𣰜	huifn
𣬽	huih
𣮏	huii
𣯶	huiih
𠃃	huijb
𣭾	huijb
𤟢	huik
𤟵	huik
𣮣	huilo
𣭆	huir
𦤩	huitc
𦤝	hujcb
𣮬	hujce
𣯔	hujcr
𣭐	hujd
𢻄	huje
𡭍	hujii
𡭐	hujii
𣮤	hujmf
𦤤	hujog
𣭎	hujr
𡬉	hujtg
𦤀	huk
𦤒	hukhh
𣮲	hukmb
𦤗	hukmf
𣭯	hukn
𦤑	hukq
𣭊	hukr
𠠹	huks
𠡞	huks
𣭋	huksr
𦣺	hul
𣬢	hulb
𧑉	hulii
𧖟	hulii
𣯫	hullv
𣭦	hulmi
𧑯	hulmi
𠜎	huln
𠞄	huln
𠞔	huln
𣬟	huln
𣰃	humbb
𩒒	humbc
𩒙	humbc
𣰑	humbw
𨡛	humcw
𦤁	hume
𦤃	humg
𣭿	humgt
𠂧	humi
𦧗	humjr
𦤐	humjt
𦤍	humju
𦤆	hummi
𠒑	hummu
