𣭏	humr
𩱩	humrb
𩱕	humrb
𣯗	humta
𦣾	humu
𩳯	humuu
𣯋	humvi
𣮻	humwl
𩈠	humwl
𣮗	humwr
𣰔	humwu
𡥲	hund
𣬥	hund
𩲇	hund
𦤊	hung
𣰇	hunhb
𣬬	hunhe
𣭧	hunin
𣭨	hunir
𠸜	hunir
𠒒	hunl
𣬤	hunl
𨜚	hunl
𨟦	hunl
𣬝	hunn
𣣉	huno
𣣨	huno
𣣮	huno
𣬨	huno
𣬴	huno
𣰀	hunoe
𣰆	hunot
𩵫	hunwf
𩺔	hunwf
𠈣	huo
𣯒	huobc
𦟡	huobo
𣰎	huofb
𨾷	huog
𩀐	huog
𣯍	huogj
𣭕	huohh
𣭩	huoik
𣰷	huoim
𪚬	huoin
𩞚	huoiv
𢼈	huok
𣬲	huok
𥏋	huok
𦣿	huol
𦤜	huolh
𣬫	huoll
𣭔	huomi
𪚬	huomn
𣭝	huomr
𣮞	huomr
𣯙	huomr
𩞚	huomv
𣯘	huond
𣬱	huoo
𦤈	huoo
𣯂	huord
𣯾	huorm
𣬿	huos
𠒷	huoyr
𥡞	hupa
𣯲	hupdv
𣭈	huph
𪚭	hupi
𣭤	huppj
𪚶	hupr
𣭚	hupru
𣮴	hupyr
𣮛	huqmb
𣬣	hur
𣬧	hur
𨜲	hurau
𣭓	hurc
𣮃	hurd
𣭗	hure
𣰕	hurrd
𩴫	hurrj
𪓬	hurxu
𣯄	husav
𣬞	hush
𣰦	husit
𣭞	husj
𣰼	husjj
𣯥	husma
𣰞	husmg
𣭜	husmm
𣰦	husmt
𣭥	husoy
𣭙	husp
𩣂	husqf
𢍂	hut
𣰥	hutbo
𣮩	hutcw
𣮺	hutgk
𣮹	huthu
