𥷺	hyrk
𦨳	hyrmk
𥭔	hyrn
𥯢	hyrn
𥰵	hyrn
𥸏	hyrn
𢛃	hyrp
𥶏	hyrr
𥴜	hyrr
𦪢	hyrrj
𥱬	hyru
𦨳	hyrvk
𦨼	hyrvk
𦪨	hyrvk
𥯞	hysd
𦨔	hyshi
𦨣	hyshr
𥣦	hysj
𦨕	hysle
𥰁	hysm
𥫣	hysm
𧭔	hysmr
𥲬	hysp
𦩯	hystw
𦨌	hysu
𥰠	hysv
𥴰	hytb
𥵣	hytb
𦪆	hytcg
𦩲	hytcw
𥱆	hytg
𥳘	hytg
𦪋	hythg
𥭴	hytj
𦨶	hytk
𦪗	hytlc
𦪗	hytmc
𦪠	hytmj
𥲰	hyto
𥴦	hyto
𥵆	hytp
𦪋	hytqg
𥯽	hytr
𥱱	hytr
𥵪	hytt
𦩷	hyttb
𦪚	hytwi
𦩵	hytxc
𥸜	hyuc
𥸞	hyuc
𥷛	hyum
𦩴	hyumt
𥷳	hyun
𥷼	hyuo
𥸛	hyuo
𥸟	hyuo
𠛪	hyuon
𦨽	hyuon
𦨥	hyuu
𦂟	hyvif
𦪶	hyvoi
𦫈	hyvoi
𥷵	hyvp
𥭚	hyvr
𦩽	hyvvu
𦪴	hyvvv
𥴪	hywb
𦩝	hywb
𦪷	hywgg
𥱾	hywi
𥷠	hywi
𥷦	hywj
𥸖	hywl
𦩭	hywp
𨽘	hyxv
𦪽	hyybp
𦪔	hyydk
𢾓	hyye
𦨗	hyye
𦪫	hyyed
𦪭	hyygq
𦪎	hyyhj
𦪍	hyymt
𦪏	hyynb
𦪡	hyypc
𦩕	hyypn
𥳅	hyyr
𦨾	hyyrn
𦪳	hyyro
𦩜	hyytr
𥳠	hyyu
𣉣	iaa
𢌂	iaae
𢊟	iahc
𠫮	iahn
𢋂	iaja
𢣽	iakp
𢉴	iamo
𢈲	iand
𢉥	iapv
