𢉁	ibb
𧡌	ibbuu
𧡤	ibbuu
𧢞	ibbuu
𠕉	ibc
𠕜	ibcc
𥤬	ibct
𢉚	ibdu
𠧃	ibhwj
𢧳	ibi
𤞣	ibik
𤢚	ibik
𢎎	ibipm
𢉦	ibjj
𢉏	ibke
𠫦	iblb
𠜙	ibln
𩒺	ibmbc
𢐭	ibmgn
𢈉	ibmr
𤮇	ibmvn
𩈨	ibmwl
𨿌	ibog
𨿱	ibog
𢽊	ibok
𣀣	ibok
𢦨	ibq
𢇺	ibr
𦝕	ibrr
𢩚	ibsmr
𢌄	ibug
𢈥	ibuu
𢼹	ibye
𢿀	ibye
𣀾	ibye
𣁀	ibye
𧥙	ibye
𠮘	ibyme
𢉅	ic
𪎗	ica
𪎥	icaph
𪎧	icaph
𪎩	icbbr
𥂓	icbt
𪎕	iccsh
𪎦	icdd
𥀱	icdhe
𪎝	icdm
𤇍	icf
𪎖	icf
𤒼	icff
𪃰	ichaf
𪇵	ichaf
𪎡	ichjd
𪎑	ichn
𪎒	ichni
𢈳	icip
𪎰	icjtc
𠢹	icks
𪎞	iclbk
𪎯	iclmc
𠞿	icln
𠠎	icln
𪎜	iclwu
𪎜	iclwv
𪎫	iclyo
𪎮	iclyq
𪎱	icmbb
𩔶	icmbc
𩕅	icmbc
𢌊	icmgt
𧶀	icmmi
𢇱	icms
𪎙	icmt
𪎔	icn
𪎠	icnin
𪎛	icniu
𨝤	icnl
𣤤	icno
𦁓	icof
𩀪	icog
𩞁	icoiv
𣀊	icok
𩞁	icomv
𪎬	icppc
𪎪	icpuu
𪎚	icq
𢊦	icro
𪓹	icrxu
𨄬	icryo
𦗕	icsj
𤯌	ictm
𡞩	icv
𪎘	icye
𪎣	icyiu
𢉲	icym
𠫡	id
𣏩	id
𣈌	ida
𪎗	ida
