𢒋	iehhh
𤔚	iehlo
𣪋	iehne
𣭳	iehqu
𪉌	iehsm
𦨤	iehyi
𣴏	ieine
𧥚	ieirb
𠂃	iekni
𠡟	ieks
𧒔	ielii
𧋛	ielmi
𣲈	ieln
𦘟	ielq
𩒩	iembc
𩒮	iembc
𩓀	iembc
𩑱	iembc
𤥲	iemgi
𤮊	iemvn
𠬍	ienau
𦫝	ienau
𨛐	ienl
𨝎	ienl
𨿓	ieog
𨾩	ieog
𢾅	ieok
𩛰	ieomv
𢚡	iep
𢠓	iep
𠰦	ier
𠶳	ier
𨁛	ieryo
𦑂	iesmm
𩣗	iesqf
𩠙	iethu
𩠖	ievvu
𤱸	iew
𢾖	ieye
𡕬	ieyhn
𨘑	ieyjj
𤆃	if
𥘗	ifa
𥚕	ifaa
𥜩	ifaam
𥜏	ifabf
𥚵	ifahu
𥘵	ifam
𥚜	ifamn
𥚛	ifapp
𢈭	ifb
𢊥	ifbb
𥛔	ifbbb
𥛟	ifbbu
𥚖	ifbd
𥛗	ifbhx
𥘝	ifbk
𥚀	ifbnd
𥚼	ifboi
𢉒	ifbr
𥂳	ifbt
𥆳	ifbu
𥜵	ifbue
𥛎	ifbvk
𥘘	ifby
𢊌	ifcb
𢋐	ifcc
𥙿	ifcor
𢈍	ifd
𥜳	ifddq
𥙭	ifdg
𥘔	ifdh
𥘑	ifdi
𥘯	ifdj
𥜕	ifdll
𥚲	ifdln
𥚒	ifdoo
𥛋	ifeed
𥙲	ifeg
𢌇	ifegi
𥘓	ifei
𢉘	iff
𥘙	iff
𢊓	iffa
𥙬	iffb
𥛷	iffdq
𢊽	ifff
𥘤	iffh
𥙑	iffmu
𥚿	iffqv
𥚊	ifgcg
𥜑	ifgew
𥙞	ifgg
𥛐	ifgit
𥜎	ifgow
𥜝	ifgrc
𥚧	ifgrt
𥛻	ifgth
𥙃	ifha
𪈾	ifhaf
