𥛯	ifnhb
𥘜	ifnhe
𨞻	ifnl
𥚦	ifnmk
𣤭	ifno
𥚩	ifnob
𥙯	ifnsr
𥚁	ifnsr
𥚣	ifnsr
𥛿	ifnwg
𢇭	ifo
𥛙	ifoah
𥙻	ifobr
𥙡	ifoby
𥙄	ifof
𥛲	ifogf
𥘼	ifohh
𥙚	ifohl
𥙜	ifoiu
𥘪	ifoj
𥘦	ifok
𥙂	ifom
𥚗	ifomb
𥙛	ifomg
𥘞	ifomn
𥜋	ifomo
𥜫	ifomw
𥙰	ifong
𥛾	ifooa
𥙁	ifopd
𥚫	ifort
𥛏	ifotc
𥘇	ifp
𥘚	ifp
𥙣	ifpa
𥜷	ifpbe
𥚐	ifphg
𥘨	ifphh
𥘩	ifpim
𥛺	ifpjc
𥚬	ifpom
𥚺	ifppa
𥘮	ifpr
𥙽	ifqoo
𢊭	ifqv
𥛍	ifrbc
𠬓	ifrhu
𥙙	ifrlb
𥘰	ifrlr
𥚶	ifrsj
𥙈	ifrue
𥚝	ifrvb
𥜐	ifrxu
𥛫	ifscd
𥛹	ifseq
𥘉	ifsh
𥚆	ifsip
𥜓	ifsit
𥙟	ifsj
𥜁	ifsjk
𥚑	ifsjr
𥛀	ifsme
𥛆	ifsme
𥜔	ifsmg
𥛈	ifsmm
𥛃	ifsms
𥜓	ifsmt
𥚍	ifspr
𥜉	ifsrq
𥘹	ifss
𥙸	ifsss
𥙥	ifsvm
𥛼	iftaa
𥜲	iftbi
𥙖	iftc
𥜶	iftce
𥛶	iftgr
𥘠	iftm
𥙶	iftmj
𥛵	iftmq
𥚮	iftmv
𥜈	iftpd
𥜍	iftwb
𥚯	ifuah
𥜤	ifubi
𥙓	ifubq
𥚾	ifuce
𥘶	ifuch
𥘷	ifufh
𥙪	ifufq
𢌏	ifug
𥙒	ifugi
𥛉	ifuhj
𥚥	ifuhn
𥚇	ifuhr
𥛢	ifujf
𥚄	ifujk
𥜨	ifujt
𥚻	ifumb
𥙧	ifunf
