𥘍	ifuo
𥚤	ifuod
𥛭	ifuoe
𥚅	ifusj
𥙋	ifuu
𥙩	ifuvo
𠬆	ifvif
𦄉	ifvif
𥘊	ifvl
𥚉	ifvvw
𥚷	ifwb
𥚃	ifwg
𥜃	ifwlj
𥚈	ifwml
𥚸	ifwmv
𥛘	ifwtj
𥛧	ifwvf
𥛚	ifycb
𥚔	ifyfe
𥘭	ifyg
𥛝	ifyhj
𧚛	ifyhv
𥙅	ifylb
𥙺	ifylh
𢋳	ifyoj
𥛳	ifypc
𥛜	ifypm
𥛳	ifypm
𥚚	ifypn
𥜅	ifypo
𥜜	ifypp
𥜠	ifypt
𥚚	ifypu
𥚠	ifyrd
𥜭	ifyrl
𥘸	ifyt
𥚱	ifyta
𥜇	ifytp
𥙆	ifyvi
𥜯	ifywd
𥛡	ifywg
𥜸	ifywl
𡈽	ig
𧸛	igbuc
𨧽	igc
𨭻	igc
𢇽	ige
𡔏	igg
𪁈	ighaf
𪇛	ighaf
𪇮	ighaf
𤪉	igheg
𪉉	ighsm
𤡵	igik
𢌀	igiv
𢻠	igje
𢻘	igjr
𢋦	igow
𢋾	igow
𢉈	igur
𨇭	igvo
𢈩	igyo
𢊫	igyr
𩾦	ihaf
𩾷	ihaf
𢊵	ihaj
𦙪	ihb
𥁘	ihbt
𢇧	ihbu
𢇲	ihd
𢊆	ihdd
𡮰	ihdf
𢈱	ihdn
𤯎	ihdt
𪙱	ihdu
𢇪	ihe
𢈦	ihej
𤋆	ihff
𢋉	ihfv
𢇦	ihg
𢈇	ihgu
𢊉	ihgw
𪁪	ihhaf
𪅩	ihhaf
𢊼	ihhc
𢦲	ihhml
𣪶	ihhne
𢈕	ihhv
𢧩	ihi
𢋝	ihid
𢧓	ihihs
𢇫	ihio
𢈅	ihio
𢋜	ihji
𢉇	ihko
𢉠	ihlb
𢋯	ihll
𢦞	ihlo
𠫝	ihlu
𠬙	ihmb
