炒	ffh
鶑	ffhaf
夑	ffhe
飊	ffhni	ffhn'i
勬	ffks
剡	ffln
纇	ffmbc
顃	ffmbc
颣	ffmbo
郯	ffnl
欻	ffno
歘	ffno
熦	ffog
敥	ffye
虩	ffypn
虩	ffypu
煔	ffyr
灶	fg
尘	fg
爀	fgcc
烓	fgg
燒	fggu
熆	fgit
焃	fglc
燽	fgni
熺	fgrr
少	fh
煌	fhag
燠	fhbk
烅	fhbt
省	fhbu
烐	fhby
炿	fhby
秌	fhd
煍	fhdf
熪	fhdn
燔	fhdw
炍	fhe
烽	fhej
烙	fher
炵	fhey
烀	fhfd
爋	fhfs
燬	fhge
燻	fhgf
焅	fhgr
烍	fhgu
毟	fhhqu
熘	fhhw
煅	fhje
煄	fhjg
燆	fhkb
劣	fhks
焮	fhlo
燬	fhme
炘	fhml
炈	fhne
煈	fhni	fhn'i
鼡	fhnq
烆	fhon
灹	fhp
焝	fhpa
熓	fhrf
炉	fhs
煸	fhsb
爋	fhsf
燩	fhsk
煽	fhsm
熩	fhsu
灮	fhu
熄	fhup
烁	fhvd
焷	fhwj
熜	fhwp
烺	fiav
煿	fibi
焌	fice
炢	fid
煘	fihr
烳	fijb
炦	fike
炦	fikk
蠽	filii
焿	filo
煻	filr
爊	fipf
烒	fipm
炲	fir
炉	fis
煸	fisb
煽	fism
熩	fisu
爌	fitc
燫	fitc
熫	fitf
熝	fixp
煵	fjbj	fjb'j
焢	fjcm
焪	fjcn
熔	fjcr
