𢊛	iuog
𢈃	iup
𡯯	iutc
𢇿	iuu
𢉵	iuuu
𢉾	iuvi
𢩡	iuycc
𢾥	iuye
𢇘	iv
𢊨	ivef
𢋘	ivfg
𢌕	ivft
𧖇	ivgi
𦉨	ivgu
𪁜	ivhaf
𩿰	ivhaf
𣂞	ivhml
𣰐	ivhqu
𣭺	ivhqu
𢇝	ivi
𢦙	ivi
𢦾	ivig
𠛏	ivln
𢉎	ivme
𢈜	ivmg
𨜠	ivnl
𦞏	ivobo
𧮪	ivyr
𢇶	iw
𤰭	iw
𢈛	iwd
𢇵	iwe
𤑏	iwf
𤑐	iwf
𠫶	iwg
𢋨	iwgg
𢌅	iwgl
𤳼	iwitf
𢌆	iwji
𢦦	iwl
𢊸	iwld
𢊤	iwle
𧓣	iwli
𢋇	iwlj
𢈷	iwml
𢉝	iwmv
𨝣	iwnl
𢊬	iwrf
𢨇	iwtc
𢉺	ixbm
𢋪	ixck
𢊁	ixf
𢉖	ixii
𢉻	ixksr
𢋵	ixtwd
𢋺	ixupe
𣀃	ixye
𢊇	ixyv
𢋆	iyao
𢌈	iybg
𢦥	iyc
𢇮	iye
𢉌	iyfe
𢦴	iyg
𢒺	iyhhh
𢊅	iyhr
𢌓	iyju
𢈨	iylh
𢋹	iymd
𢉍	iymf
𢋽	iynl
𢈼	iyoj
𢉪	iypd
𢋁	iype
𢊳	iypl
𢈶	iypn
𢋀	iypr
𢈶	iypu
𢈴	iyrf
𢉩	iyta
𢋼	iyti
𢇜	iyv
𢋊	iyvg
𦂟	iyvif
𢋃	iywm
𢈺	iywr
𢈞	iyws
𪗆	iyx
𢋿	iyxf
𧡺	jabuu
𥀁	jadhe
𡨶	jaf
𡎉	jag
𪃙	jahaf
𪄖	jahaf
𣯆	jahqu
𡩏	jahu
𠦝	jaj
𡩷	jajv
𠁗	jak
