𡩳	jakg
𤗡	jalln
𡨕	jamc
𠁂	jamn
𡗀	janin
𡧮	jap
𢝬	jap
𨜞	jarau
𩥞	jasqf
𢾀	jaye
𢾑	jaye
𣂃	jayj
𡧓	jb
𧠎	jbbuu
𨩧	jbc
𡬔	jbcc
𤕐	jbck
𣐁	jbd
𣓼	jbdd
𥀇	jbdhe
𣗞	jbdl
𡨻	jbdu
𪃢	jbhaf
𪆢	jbhaf
𢂛	jbhke
𣬪	jbhqu
𡩹	jbhx
𣝐	jbhxd
𤜲	jbik
𢂤	jbike
𩐊	jbiom
𢂏	jbjb
𢄬	jbjbb
𢺷	jbje
𣕣	jbjrd
𣘯	jbkid
𧋌	jblmi
𧍵	jblmi
𠚷	jbln
𡧧	jbm
𩕋	jbmbc
𡨋	jbmc
𧶌	jbmcc
𨡷	jbmcw
𠄼	jbmdm
𡚀	jbmek
𠁕	jbmlm
𡬐	jbmm
𠒈	jbmmu
𡜌	jbmmv
𩐊	jbmom
𧞢	jbmov
𢄿	jbmrb
𣡖	jbmrd
𥗤	jbmrr
𨙶	jbnl
𣠀	jbnod
𢚦	jbnp
𠆴	jbo
𧖚	jbodi
𩀉	jbog
𠺞	jbogr
𢼆	jbok
𢆥	jboq
𡩴	jbou
𣞉	jboud
𣟘	jboud
𧕰	jboui
𣚇	jbpud
𦝸	jbqh
𧏋	jbrli
𣟏	jbrrd
𣡪	jbrrd
𦣰	jbsly
𡧟	jbu
𡹹	jbu
𥃭	jbu
𨭧	jbuc
𡩈	jbud
𡕹	jbue
𢜇	jbup
𡩇	jbuu
𣕿	jbuud
𦃦	jbvif
𣓑	jbwd
𤴡	jbwio
𤱿	jbwml
𣠔	jbwod
𨂬	jbwro
𢍚	jbwt
𢻵	jbye
𧚐	jbyhv
𧘴	jbyhv
𣎳	jc
𡧼	jca
𣌼	jca
𥧤	jcafk
𥦏	jcak
𥦽	jcamo
𥦍	jcat
