𥦦	jcave
𥧭	jcawe
𥥃	jcb
𥦜	jcbb
𥨇	jcbck
𥧹	jcbhx
𥥐	jcbm
𥦻	jcbnb
𥦘	jcbnd
𥦵	jcbok
𥥝	jcbq
𥥊	jcbt
𥥚	jcbt
𥉵	jcbu
𥦎	jcbuc
𥨬	jcbum
𥦀	jcbuu
𧢘	jcbuu
𥦨	jcc
𥨓	jccje
𥧁	jccrp
𥥄	jccsh
𥦬	jccwe
𥦬	jccwn
𥦝	jcdd
𥀢	jcdhe
𥦈	jcdl
𥥑	jcdm
𥥞	jcdme
𥤦	jce
𥤼	jce
𥨙	jcebb
𠿡	jceer
𥥦	jcef
𥨿	jcehk
𥦷	jceni
𥧲	jcesb
𥦠	jceyg
𥧕	jceyu
𥧕	jceyv
𥥪	jcfd
𥧸	jcfmr
𥤧	jcg
𥩐	jcgcc
𥨅	jcgck
𥩋	jcgcu
𥩄	jcggi
𥧟	jcggp
𥦛	jcggy
𥨴	jcgjf
𥦔	jcgno
𥥭	jcgr
𥦭	jcgtj
𥨠	jcgwt
𪇕	jchaf
𪇧	jchaf
𥧈	jchah
𥦒	jchap
𥨩	jchbk
𥥩	jchbr
𥥳	jchby
𥧎	jchda
𥩈	jchdb
𥨽	jchdf
𥧇	jchdj
𥦉	jchdn
𥨑	jched
𥦹	jchen
𥦓	jchfd
𥨼	jchgn
𥩁	jchgo
𥨵	jchhb
𥨃	jchhe
𥨹	jchhe
𥨂	jchhk
𥨚	jchhl
𥨪	jchhu
𥧥	jchhw
𥥲	jchjm
𥥜	jchke
𥤤	jchn
𥧽	jchod
𥨍	jchoe
𥨝	jchoe
𥨡	jchoh
𥩅	jchpj
𥧷	jchqd
𥨘	jchqd
𥥌	jchqo
𣯻	jchqu
𣰨	jchqu
𩴱	jchui
𥦥	jchuo
𥨧	jchvk
𥩆	jchxc
𥨥	jchxn
𥨗	jchxt
𥦣	jchxu
𥨫	jchxu
𥦧	jchyn
