𪌧	jegr
𪍮	jegsk
𪍥	jegue
𪂸	jehaf
𪄳	jehaf
𪌗	jehd
𪍗	jehdf
𪍆	jehdh
𪍎	jehdj
𪌱	jehdn
𪌆	jehe
𪌣	jeher
𪌾	jehew
𪍰	jehjo
𪌩	jehjr
𪍷	jehkb
𪌍	jehml
𪌓	jehne
𪌂	jehp
𪌜	jehqm
𣮯	jehqu
𣮸	jehqu
𣯕	jehqu
𪌤	jehrr
𪍜	jehwp
𪍡	jeibi
𪌙	jeih
𪌵	jeije
𪌚	jeit
𪍿	jeitc
𪌝	jeiu
𡪦	jeja
𪌰	jejbd
𪍟	jejbf
𪍂	jejcm
𢺸	jeje
𢻜	jeje
𢿷	jejee
𪌡	jejhn
𪍒	jejrb
𪌹	jekkb
𪋾	jeks
𢺶	jelb
𪍣	jellv
𪌪	jelmo
𠚽	jeln
𠝠	jeln
𠝬	jeln
𠟴	jeln
𨣗	jemcw
𪌆	jeme
𤩯	jemgi
𪌞	jemgi
𣯷	jemhu
𪌃	jemj
𥖳	jemr
𠞲	jemsh
𪍭	jemso
𤮈	jemvn
𤮛	jemvn
𪋽	jemvs
𪍵	jemwj
𪍏	jenbc
𪍚	jenhd
𪍘	jenhk
𪌻	jenib
𢻈	jenin
𪌫	jenin
𨙸	jenl
𨜛	jenl
𨝢	jenl
𨞢	jenl
𪍳	jenlb
𪍄	jenme
𪌀	jenn
𣤳	jeno
𪌒	jeno
𪌅	jeob
𪍇	jeog
𪍞	jeohw
𪌿	jeoip
𪌑	jeok
𪎀	jeomm
𪌇	jeomn
𪍍	jeomn
𪌿	jeomp
𪌴	jeoog
𪌟	jeos
𢟥	jep
𢢞	jep
𢤙	jep
𪋼	jep
𪍃	jephp
𪌼	jepou
𪌈	jepp
𪍐	jeptd
𪌋	jepu
𪌐	jeq
𪍊	jeqmv
𪍲	jeqoa
