𪍮	jeqsk
𠿉	jer
𨙾	jerau
𪌭	jerb
𪌸	jerhq
𢻋	jerr
𪍽	jerrd
𪌄	jeru
𡩻	jesb
𡫏	jese
𪍛	jesfb
𪌕	jeshr
𪌺	jeskr
𪌖	jess
𪍤	jetak
𪍑	jetcw
𪍬	jeteh
𪎄	jetei
𪍋	jetfh
𪍶	jetgr
𪍙	jetjp
𪍀	jetmc
𪎅	jetnm
𪍶	jettr
𡢖	jev
𪍄	jevne
𪍨	jevvd
𪍔	jevvv
𪍁	jewhd
𪎆	jewlg
𪍹	jewli
𪍺	jewlv
𪍝	jewot
𪌦	jewr
𪍪	jewtj
𪍯	jewvf
𪋿	jey
𪍈	jeyaj
𪍕	jeybc
𪍼	jeybr
𢾐	jeye
𣀍	jeye
𪌏	jeye
𪌘	jeyg
𪌉	jeyj
𪍦	jeyjj
𪌷	jeymh
𪍅	jeyok
𣫦	jeypn
𧈌	jeypn
𧈗	jeypn
𪍸	jeypo
𧈌	jeypu
𧈗	jeypu
𪌁	jeyv
𡗜	jf
𥈷	jfbu
𧹆	jfbuc
𠧁	jfbw
𡨎	jfdi
𡨼	jff
𦃆	jfher
𡩰	jfhhl
𣪺	jfhne
𣫠	jfhne
𪃟	jfhne
𡨽	jfhu
𢻟	jfje
𠠙	jfln
𡨝	jfni
𨛱	jfnl
𡨐	jfr
𦅕	jfyaj
𦆽	jfyij
𡨊	jgbe
𡩮	jgbu
𡪌	jgce
𡪡	jgfo
𡧩	jgg
𧶚	jggc
𡪩	jggu
𪆉	jghaf
𪆕	jghaf
𡧪	jghp
𡫑	jgig
𡫓	jgig
𡫭	jgjd
𡬀	jgjgg
𡬏	jgjgg
𦘏	jgjwp
𡨁	jglc
𧕾	jglii
𩕥	jgmbc
𦥉	jgmmr
𡫆	jgow
𨆧	jgryo
𠦠	jham
𡨇	jhap
𡨗	jhap
𡨿	jhbf
