𡪿	jhbk
𧠥	jhbuu
𡫎	jhdk
𡨖	jhdn
𡩨	jhdr
𡩭	jhds
𡩸	jhds
𡪃	jhdt
𡪳	jhdu
𡪂	jheg
𡩓	jhei
𡨛	jhej
𡧸	jheu
𧸹	jhfc
𡑁	jhg
𡪓	jhgc
𡫬	jhgo
𡨟	jhgr
𪂁	jhhaf
𣰘	jhhqu
𠀽	jhike
𡨘	jhli
𡧙	jhll
𡦾	jhlu
𥩉	jhmbw
𥨋	jhmgt
𠦉	jhml
𡧻	jhmr
𡧔	jhne
𡦿	jhnm
𠦐	jhnn
𥩍	jhnwa
𡫠	jhok
𢼋	jhok
𡨩	jhpa
𡨣	jhqe
𡩒	jhqu
𡧺	jhrr
𡫀	jhsk
𡫛	jhub
𡨷	jhuo
𡪣	jhuu
𡬃	jhuu
𡫘	jhws
𡨯	jhxj
𡩔	jhxk
𢦏	ji
𡩕	jiad
𥅰	jibu
𥊍	jibu
𧡃	jibuu
𢧇	jiche
𦄯	jidif
𧔂	jihi
𢦼	jihlo
𡧷	jihq
𡭏	jihri
𢦛	jij
𡨃	jije
𡨹	jijmn
𥬒	jike
𡪱	jikk
𡨌	jil
𡪼	jild
𢨣	jilir
𢨆	jilyv
𩓘	jimbc
𧟭	jimcw
𧯥	jimrt
𤴝	jinyo
𡭇	jiob
𩳇	jiohe
𢧭	jipua
𢎇	jiq
𢧨	jiqka
𨚵	jirau
𢧑	jirg
𢧜	jirmg
𡫣	jisk
𩲂	jisli
𡨜	jiti
𡸸	jiu
𢨎	jiuuu
𤱱	jiw
𥅤	jiws
𢦷	jiyhs
𧛦	jiyhv
𧧬	jiymr
𠀆	jj
𠥼	jj
𨍆	jjaa
𨎗	jjahh
𨎫	jjanb
𨏦	jjang
𨏭	jjanw
𨊹	jjau
𨋨	jjav
𨏌	jjavf
𨏀	jjawp
𨊸	jjb
