𤹇	khdr
𤟈	khdw
𤺏	khdw
𤡳	khdwk
𤡻	khdwo
𤝎	khe
𤞎	khed
𤶫	khed
𤻧	khed
𤶔	khef
𤸍	khef
𤜫	khei
𤠘	kheii
𤶞	khej
𤸇	khem
𤷬	khem
𤵸	kheq
𤝢	kheq
𤡷	khesd
𤻷	khet
𤵮	khf
𤞚	khfb
𤣞	khfbf
𤢄	khfbk
𤢎	khfbw
𤝸	khfd
𤵡	khfd
𤠋	khfdv
𤟇	khff
𤢯	khffq
𤝫	khgb
𤡬	khgbt
𤞇	khgg
𤠱	khgik
𤠡	khgit
𤠳	khgou
𤶳	khgr
𤢺	khgrc
𤢬	khgrg
𤢀	khgrr
𤡭	khgth
𤞯	khgug
𤡔	khhad
𤡕	khhaf
𤟡	khhag
𤝼	khhbu
𤢘	khhef
𤝷	khheq
𤝥	khhey
𤝘	khhfd
𤞺	khhgr
𤞓	khhgu
𤠭	khhhi
𤞅	khhhv
𤠑	khhhw
𤝑	khhio
𤝹	khhjd
𤵠	khhl
𤢽	khhlc
𤜶	khhlo
𤢇	khhlq
𤜝	khhn
𤝈	khhne
𤜦	khhni
𤡆	khhoo
𤜤	khhp
𤝬	khhpm
𤞳	khhpr
𤝄	khhqu
𤠒	khhrk
𤟑	khhsk
𤝤	khhsn
𤢳	khhul
𡘎	khhv
𤝬	khhvi
𤠞	khhwp
𤣌	khhxd
𤟚	khhxe
𤡯	khhxf
𤠈	khhxt
𤡡	khhxv
𤢡	khhxv
𤣜	khhxv
𤠍	khhye
𤜺	khhym
𢦖	khi
𤠗	khibp
𤝞	khid
𤝣	khie
𤠽	khihf
𤞉	khihi
𤡅	khiif
𤠸	khiil
𤡙	khiim
𤠧	khiin
𤞨	khijb
𤝞	khijc
𤞰	khije
𤜥	khik
𤝜	khikk
