𤠯	khilr
𤠜	khing
𡗷	khio
𤣄	khipf
𤞔	khipm
𤟑	khisk
𤝏	khit
𤞫	khit
𤡍	khitf
𤢒	khixf
𤡊	khixp
𤠶	khjbc
𤝂	khjc
𤟪	khjck
𤟄	khjcm
𤢶	khjcn
𤣛	khjco
𤢱	khjcv
𤶎	khjd
𤟫	khjfe
𤡗	khjff
𤞌	khjhp
𤼜	khji
𤢷	khjim
𤡄	khjjk
𤡋	khjjo
𤢸	khjkf
𤝨	khjkn
𤟃	khjlo
𤷣	khjm
𤟿	khjmm
𤡛	khjmn
𤞵	khjmu
𤟊	khjnu
𤝛	khjp
𤡺	khjpb
𤢆	khjpb
𤻥	khjr
𤡶	khjtj
𤸣	khju
𤢻	khkbp
𤢙	khkcf
𤟆	khkcn
𤟆	khkdn
𢼥	khkhk
𤝁	khki
𤞠	khkic
𤞠	khkid
𤞐	khkld
𤝊	khknj
𨛊	khknl
𤠹	khkpb
𤠬	khkrb
𤢃	khkrb
𤜜	khks
𢁛	khlb
𤜴	khlbu
𤟸	khllk
𤡟	khllp
𤡱	khlmc
𤷓	khlo
𤝽	khlq
𤺭	khlq
𤞹	khltl
𤞍	khlu
𤟺	khlwe
𤝚	khlwl
𤡝	khlyg
𤜚	khm
𤢫	khmat
𤡤	khmbb
𤣋	khmbc
𤣐	khmbg
𤣔	khmbg
𤣝	khmbi
𤣗	khmbi
𤟦	khmbk
𤞸	khmbm
𤣤	khmbo
𤣍	khmbr
𤢗	khmbw
𤞏	khmcw
𤻏	khme
𤟷	khmfm
𤞜	khmfr
𤠅	khmft
𤞕	khmgb
𤞬	khmgt
𤡫	khmhd
𤞡	khmhl
𤞂	khmig
𤞿	khmjk
𤢋	khmkt
𡗲	khml
𤴾	khml
𤜳	khmlb
𤡼	khmlw
𤠃	khmms
𤝌	khmmu
𤞊	khmnn
