𤷎	khrj
𤝲	khrmk
𤢊	khrmr
𤝐	khrms
𤢖	khrrd
𤣠	khrrr
𤣣	khrrr
𤟕	khrvb
𤝲	khrvk
𤡘	khsbe
𤠿	khseg
𤡹	khsfj
𤺮	khsg
𤟁	khsia
𤡏	khsik
𤠏	khsim
𤣆	khsjf
𤣒	khsjj
𤣈	khsjo
𤝺	khsm
𤝿	khsmg
𤟔	khsmv
𤟨	khsqt
𤢣	khsrj
𤠾	khsrr
𤝙	khss
𤟎	khsuu
𤜛	khsvs
𤣟	khswu
𤣢	khtaw
𤣙	khtbk
𤞒	khtc
𤣊	khtck
𤡀	khtge
𤟲	khtgv
𤠁	khthu
𤠂	khtir
𤝪	khtj
𤟬	khtjd
𤣀	khtkl
𤡁	khtlb
𤠇	khtlj
𤠉	khtlk
𤡞	khtlo
𤡉	khtlo
𤢁	khtlw
𤞢	khtmj
𤢑	khtnk
𤠟	khtor
𦍕	khtq
𤢮	khtqk
𤠝	khtqm
𤝴	khtt
𤠰	khttb
𤣇	khttp
𤣚	khttu
𤞄	khtvu
𤠛	khtvu
𤡐	khtwa
𤢥	khtwb
𤣁	khtwt
𤢨	khtyb
𤠤	khtyv
𤞽	khtyv
𡾎	khu
𤜬	khu
𤢠	khuam
𤺃	khuj
𤻁	khuj
𤣖	khujt
𤻖	khul
𤟉	khumj
𤠲	khumt
𤠀	khune
𤞃	khuni
𤻊	khuo
𤣑	khuob
𤝵	khuqm
𤝒	khuu
𤠦	khuuk
𤠥	khuul
𤵑	khv
𤡨	khvff
𤢴	khvid
𤜟	khvl
𤝾	khvvu
𤢪	khvvv
𤝗	khw
𤠎	khwce
𤞧	khwd
𤡒	khwgn
𤡓	khwim
𤣡	khwim
𤝱	khwk
𤟹	khwlb
𤢟	khwlj
𤟧	khwp
𤞑	khwr
𤠺	khwtj
𤡂	khwvf
