𤸊	kirp
𡙤	kisv
𡗹	kit
𤻑	kitc
𠬗	kitgi
𡵎	kiu
𡘒	kiw
𤴹	kjb
𤶽	kjbd
𤸴	kjbf
𧡵	kjbuu
𤻚	kjcb
𤷿	kjck
𤸃	kjfe
𤵾	kjhp
𤹵	kjii
𤺋	kjjh
𤹖	kjjj
𡘺	kjkni
𤶁	kjkp
𤸧	kjmm
𡙕	kjnq
𤷧	kjnu
𤻝	kjpn
𡙳	kjpq
𤼂	kjqp
𠯛	kjr
𤹜	kjrr
𡙈	kjsle
𨊦	kjwj
𢾴	kjye
𧙐	kjyhv
𤴧	kk
𧡅	kkbuu
𧠔	kkbuu
𤺂	kkcc
𤶟	kkce
𤹃	kkcv
𤿓	kkdhe
𤎦	kkf
𤐳	kkf
𥹛	kkfd
𡙔	kkgg
𩾾	kkhaf
𤺐	kkhv
𤺸	kkhv
𠫤	kki
𤵉	kki
𤵄	kki
𤸙	kkit
𤕠	kkjdi
𢺽	kkje
𨌸	kkjjk
𤕞	kkjmn
𡘙	kkk
𢂞	kkkb
𤷤	kkkb
𢁫	kklb
𤵗	kklb
𤶐	kkld
𧎿	kklmi
𠛄	kkln
𠞮	kkln
𠀤	kkm
𤽠	kkma
𩑛	kkmbc
𤷈	kkmf
𤴦	kkn
𡥈	kknd
𡥉	kknd
𤴯	kkni
𤕟	kknyo
𤹩	kkog
𩁓	kkog
𢼂	kkok
𢼫	kkok
𢞱	kkp
𤕥	kkpbu
𠯌	kkr
𡽺	kku
𤷀	kkug
𤕢	kkv
𥾥	kkvf
𢼬	kkye
𤕝	kkye
𡙃	kkyg
𡗔	kl
𡘨	klae
𤹒	klgi
𤼖	klii
𤵵	klk
𤶱	kll
𤸨	klmf
𡘗	klmi
𧈠	klmi
𧈹	klmi
𩇩	klmy
𤴮	kln
𤺕	klnc
𤵨	klo
