𤶅	klok
𤹢	klpb
𤻺	klvk
𡘊	klw
𤵺	klwp
𤶉	klwy
𡙆	klxl
𡗓	km
𣅎	kma
𡘍	kmam
𤻪	kmbb
𤶯	kmbe
𤑌	kmbf
𤸂	kmbk
𤹶	kmbk
𤶮	kmbp
𤶰	kmbt
𥁋	kmbt
𤶈	kmcw
𤻞	kmfb
𤷁	kmfg
𤵣	kmfj
𤵛	kmfm
𤺗	kmfn
𤸓	kmge
𡘇	kmgi
𤶦	kmgt
𢒊	kmhh
𤴲	kmj
𤺍	kmjk
𤕜	kmk
𡘋	kmkm
𢀡	kmkm
𤼉	kmkp
𤶕	kmkr
𤴫	kml
𡘣	kmls
𤵫	kmmf
𤺘	kmmo
𡙄	kmmu
𤹐	kmnf
𤷋	kmnu
𨾬	kmog
𨾭	kmog
𤶥	kmok
𤵿	kmov
𤻒	kmrj
𤻳	kmrr
𡘰	kmrt
𡘟	kmsm
𤷷	kmst
𤴰	kmu
𤻆	kmuc
𡙣	kmue
𤹉	kmue
𤺤	kmuo
𡚐	kmuu
𡗰	kmvi
𤵋	kmvi
𤹘	kmvi
𡗨	kmvm
𤵀	kmvu
𤺡	kmwf
𡗝	kn
𡯁	kn
𤴥	kn
𨷎	knang
𤶋	knau
𩨔	knbbb
𣘑	knbd
𤹯	knbp
𤸝	knbs
𡥂	knd
𤴳	knd
𤸦	kndd
𤶂	kndr
𤷪	kndt
𠬚	kne
𤸲	knef
𤷉	knem
𤵜	knf
𤼀	knfd
𤶤	knfe
𤷨	kngg
𩾛	knhaf
𠤙	knhap
𢒂	knhhh
𩱼	knhui
𪖒	knhul
𠀊	kni
𢦎	kni
𤕡	knik
𤵈	knin
𤺍	knjk
𠃙	knkn
𤼉	knkp
𠠵	knks
𡗵	knl
𤺹	knlh
𧈤	knlmi
