𤴟	kpblo
𤹧	kpbn
𤐅	kpf
𤵘	kph
𤵐	kphh
𤵯	kphu
𤶵	kphu
𤵆	kpi
𢂸	kpmlb
𤷹	kpne
𤺫	kppp
𤺔	kptc
𡙻	kptd
𡗥	kpu
𤵊	kpu
𡘁	kpuo
𡗢	kq
𤸟	kqgi
𤺚	kqhf
𤸪	kqhq
𤸞	kqht
𦎃	kqkni
𤷰	kqkq
𤹠	kqmc
𢆐	kqmj
𤷶	kqmv
𤸚	kqmy
𢡶	kqp
𢴷	kqq
𦅬	kqvif
𧬓	kqymr
𤷟	kqyt
𠮣	kr
𤶛	krau
𦙺	krb
𤸫	krbc
𤶧	krbo
𠳮	krbr
𥁓	krbt
𤶭	krd
𤇞	krf
𥹌	krfd
𧻅	krgyo
𦨦	krhby
𣂦	krhml
𠙏	krhn
𣪪	krhne
𤙄	krhq
𤯱	krhqm
𤵱	krks
𧉪	krlmi
𩑲	krmbc
𠡐	krmvs
𨚞	krnl
𨜅	krnl
𤶺	krno
𦙲	krobo
𨿫	krog
𠦵	kroj
𢽽	krok
𤸅	krpa
𪑵	krrf
𡚊	krrg
𡚍	krrm
𡙗	krrr
𤸔	krrr
𤼅	krrr
𪓡	krru
𡙲	krrw
𥿃	krvif
𠷔	krvo
𤵤	krvp
𤺵	krya
𧦲	krymr
𪗬	krymu
𤹦	kryw
𠀁	ks
𠠾	ksau
𤷯	ksbn
𧴥	ksbuc
𠡙	ksdy
𤵧	kse
𤸮	ksfb
𤺶	ksfe
𤼔	ksfp
𡉂	ksg
𤴬	ksh
𤬄	kshio
𣂒	kshml
𤙼	kshq
𤵪	kshr
𤺼	kshs
𦫐	ksiav
𤹱	ksie
𤶝	ksip
𤺈	ksja
𤼕	ksja
𤹚	ksji
𤻢	kske
𠡘	ksklg
