爦	fswu
灷	ft
焟	fta
爤	ftaw
烘	ftc
烡	ftc
爜	ftce
燍	ftcl
煪	ftcw
燨	ftgi
爔	ftgs
烪	ftk
熿	ftlc
煂	ftlj
煐	ftlk
熯	ftlo
煤	ftmd
燁	ftmj
烂	ftmm
煁	ftmv
焫	ftob
爑	ftof
烵	ftpi
煫	ftpo
燪	ftpp
烊	ftq
爟	ftrg
煹	fttb
燤	ftwb
燇	ftwi
爡	ftwi
燶	ftwv
熑	ftxc
灿	fu
熴	fuap
尡	fuapp
輝	fubjj
辉	fubkq
韑	fudmq
兤	fuitc
勌	fuks
煓	fumb
熣	fuog
耀	fusmg
黋	futlc
炪	fuu
爍	fvid
数	fvok
爉	fvvv
畑	fw
畄	fw
煟	fwb
巣	fwd
焑	fwd	fw'd
爅	fwgg
単	fwj
烟	fwk	fw'k
煾	fwkp
炠	fwl
燭	fwli
燡	fwlj
劏	fwln
顲	fwmbc
煨	fwmv
熅	fwot
熼	fwtc
熚	fwtj
焯	fyaj
煺	fyav
爖	fybp
熵	fycb
烄	fyck
燉	fydk
燦	fyed
爘	fyev
炷	fyg
燵	fygq
熢	fyhj
炕	fyhn
熾	fyia
焴	fyib
炓	fyj
炆	fyk
熥	fynb
焠	fyoj
焲	fyok
爈	fypp
爐	fypt
炶	fyr
熇	fyrb
焞	fyrd
燺	fyrd
煷	fyrn
煷	fyru
爙	fyrv
燑	fytg
燧	fyto
燱	fytp
焙	fytr
炫	fyvi
