𤸋	kwol
𤸛	kwp
𤹄	kwrd
𤺆	kwtc
𤹝	kwtj
𡚗	kwww
𤵝	kwyi
𤴩	ky
𡘐	kya
𤶓	kya
𤷘	kyaj
𤻐	kyao
𤻌	kybb
𤸘	kybc
𤼃	kybp
𤹔	kybs
𤹞	kycb
𤹟	kycb
𤶀	kyck
𡙓	kyhh
𡘚	kyhv
𤸕	kyhv
𧙜	kyhv
𡗴	kyj
𡚄	kyji
𤹨	kyjj
𤻬	kyjl
𤵒	kyk
𤶾	kykr
𤶒	kyks
𡘧	kylh
𤵁	kylm
𡘂	kymc
𡚓	kymf
𤻀	kymh
𤺙	kymm
𡗼	kymp
𤶘	kymr
𧥢	kymr
𤻽	kymu
𤵶	kyn
𤼘	kynq
𡗱	kyo
𤸺	kyoo
𤹣	kypd
𤹡	kypm
𤺞	kypm
𤺝	kypn
𤷡	kypn
𤻱	kypp
𤺒	kypr
𤺿	kyps
𤷡	kypu
𤹽	kyrb
𤷦	kyrf
𤸥	kyrn
𤻭	kyrr
𤸖	kyrv
𤻨	kytb
𤺄	kytg
𤻄	kyto
𤺀	kytv
𤹼	kyuh
𤷐	kyvu
𤺺	kywm
𤸬	kywv
𧛕	labu
𣑞	lad
𤾳	lahag
𣍜	lahbc
𧛟	lahm
𣆨	lahnq
𧛰	lahu
𣌡	lai
𦘢	laine
𢅺	laitb
𧜳	laiu
𣇑	lalql
𦧶	laomr
𢆅	latab
𧟊	laud
𣍚	lavfe
𧝽	lavo
𧜞	lawe
𠢎	lawks
𢁯	lba
𢃑	lbaa
𧜀	lbac
𢃼	lbahu
𢃰	lbamo
𢅰	lbanu
𢃡	lbaph
𢃚	lbapp
𢄸	lbase
𧜓	lbbb
𢂶	lbbcr
𢁶	lbbe
𧚯	lbbe
𧞇	lbbe
𢃖	lbbgr
