𡭔	lc
𨵣	lcan
𧟝	lcbe
𧛹	lcim
𧝧	lcji
𠢥	lcks
𢄖	lclb
𧘒	lcm
𧜲	lcob
𠛸	lcsh
𧞌	lcwf
𧙞	ldb
𧚏	ldl
𧝝	ldlo
𧙄	ldm
𧛮	ldmf
𧜝	ldoe
𧟜	ldtt
𦀱	ldvif
𧟔	ldwa
𧛆	lea
𧙔	leg
𪂩	lehaf
𠡫	leks
𨽼	lele
𧌿	lelmi
𨽶	lew
𨾂	lewtc
𤆪	lf
𤇷	lf
𧜎	lfcq
𧞩	lfgi
𧘡	lfh
𩽟	lfypm
𨃲	lgaro
𦘘	lgba
𦘕	lgbmo
𥁞	lgbt
𧶁	lgbuc
𧗙	lgbut
𨨼	lgc
𧟎	lgcc
𧛾	lgit
𧗚	lgmbt
𤲿	lgmlm
𥒠	lgmr
𧺅	lgmwc
𢤖	lgp
𦘜	lgpsl
𠂵	lgql
𦘙	lgua
𦘚	lgubo
𥂛	lgwbt
𧟅	lgwc
𧟉	lhab
𧜣	lhaf
𩾑	lhaf
𩿀	lhaf
𧚷	lhau
𧚷	lhav
𧚳	lhbn
𧙹	lhbr
𧝰	lhbs
𧚘	lhds
𧚋	lhej
𡒮	lhg
𣥂	lhh
𧗁	lhhbt
𧛼	lhhi
𧜕	lhhk
𤙟	lhhq
𤯦	lhhqm
𤝮	lhik
𧘜	lhj
𧟖	lhjm
𠸗	lhjr
𧚎	lhjw
𧛒	lhk
𧞁	lhkm
𠛔	lhln
𧘷	lhlo
𧙆	lhlo
𧜑	lhmb
𧜬	lhmf
𧘻	lhml
𧙺	lhmr
𧙝	lhmy
𧙱	lhnb
𧙤	lhnd
𧘣	lhne
𧘺	lhne
𩷞	lhnwf
𧛶	lhoi
𠠭	lhoma
𧝡	lhor
𧝩	lhou
𢡕	lhp
𧘐	lhp
𧚓	lhpb
𧚜	lhqb
