𧉟	liir
𧍮	liisb
𧏃	liisk
𧎥	liism
𧉵	liisn
𧉤	liit
𧐚	liitf
𧊎	liiu
𧔊	liiwg
𧐳	liixi
𧕻	liiyp
𧍈	liiyr
𧓍	lijac
𧔬	lijbd
𧋢	lijbd
𧎳	lijbf
𧑠	lijbr
𧖒	lijbv
𧉢	lijc
𧑲	lijca
𧎛	lijck
𧌆	lijcm
𧏏	lijcm
𧔚	lijcn
𧉿	lijd
𧒠	lijeb
𧓺	lijhf
𧉡	lijhu
𧐦	lijic
𧒵	lijig
𧐕	lijii
𧓥	lijim
𧒶	lijiv
𧔒	lijiv
𧒫	lijkb
𧔜	lijla
𧍱	lijmg
𧉞	lijmn
𧎧	lijoa
𧐴	lijoa
𧏖	lijoc
𧑗	lijpb
𧑶	lijpb
𧎡	lijrr
𧑚	lijty
𧒼	lijue
𧎙	likbl
𧏫	likde
𧒇	likha
𧋵	likhg
𧈽	liki
𧉑	liki
𧎔	likjt
𧉩	liklb
𧋃	likld
𧌄	liklu
𧌄	liklv
𧊘	likms
𧓛	liknc
𧈮	likni
𧎈	likon
𧊀	liksr
𧌥	liktn
𧊑	likuh
𧊼	lilbi
𧚴	lili
𧒋	liliu
𧊍	lilk
𧏱	lilkt
𧈶	lilll
𧈼	lilll
𧉸	lilln
𧈼	lilln
𧑋	lilmc
𧍃	lilmy
𠛿	liln
𧑈	lilnc
𧔀	lilpn
𧊐	lilq
𧔅	lilve
𧎠	lilvu
𧊋	lilwl
𧊠	lilwo
𧊣	lilwp
𧑛	lilx
𩈂	lilyp
𧊳	limam
𧑮	limbb
𧕖	limbe
𧏦	limbf
𧓴	limbg
𧓞	limbj
𧖜	limbo
𧕅	limbr
𧒽	limbw
𧛠	limc
𧊻	limcg
𧉈	limf
𧋁	limgb
𧍊	limgg
