烗	fyvo
燣	fywd
燷	fywf
炞	fyy
土	g
塭	gabt
埘	gadi
塒	gagi
声	gah
堳	gahu
坦	gam
場	gamh
壜	gami
垾	gamj
堤	gamo
墹	gana
壛	ganx
埸	gaph
堒	gapp
堨	gapv
塌	gasm
垠	gav
墁	gawe
冉	gb
塓	gbac
堋	gbb
堝	gbbr	gbb'r
堔	gbcd
埛	gbcr	gb'cr
埰	gbd
埒	gbdi
埓	gbdi
坈	gbhn
壳	gbhn
觳	gbhne
悫	gbhp
坈	gbhu
売	gbhu
塪	gbhx
堚	gbjj
壺	gblm
壷	gblm
坥	gbm
埧	gbmc
壸	gbmc
槖	gbmd
蠧	gbmi
壼	gbmm
塚	gbmo
塜	gbmo
垌	gbmr	gb'mr
壹	gbmt
垺	gbnd
坝	gbo
壱	gbp
坰	gbr	gb'r
埩	gbsd
壶	gbtc
堈	gbtu	gb'tu
垻	gbuc
垷	gbuu
坍	gby
覿	gcbuu
皾	gcdhe
坴	gcg
赫	gcglc
夌	gche
赯	gcilr
塕	gcim
赭	gcjka
赨	gclmi
頳	gcmbc
赩	gcnau
郝	gcnl
赥	gcno
赱	gco
赦	gcok
赮	gcrse
鼀	gcrxu
坋	gcsh
赧	gcsle
丧	gcv
增	gcwa
増	gcwa
啬	gcwr	gcw'r
赬	gcybc
赪	gcybo
坡	gdhe
穀	gdhne
榖	gdhne
糓	gdhne
寺	gdi
块	gdk
埬	gdw
堜	gdwf	gdw'f
瞽	gebu
鏧	gec
墚	gecd
漀	gee
鼜	geeii
