𧏙	litui
𧌷	litvy
𧒆	litwi
𧓅	litwv
𧐞	lityj
𧓶	lityj
𧋽	lityv
𧏢	liuhj
𧐿	liujf
𧍒	liumb
𧔇	liumb
𧏬	liumi
𧊩	liumj
𧌹	liumr
𧍹	liumu
𧋏	liune
𧐩	liuob
𧔍	liuos
𧉳	liuq
𧍘	liuvi
𧑵	liuwi
𧌵	livbn
𧓭	livfb
𧎒	livfi
𧖣	livfi
𧖘	livfq
𧑾	livfu
𧖖	livfu
𧔉	livid
𧕂	livim
𧍏	livjr
𧌍	livne
𧍼	livnn
𧑀	livvd
𧑳	livvf
𧓓	livvi
𧏧	liwce
𧋕	liwd
𧒞	liwdb
𧉫	liwe
𧋎	liwg
𧐋	liwhr
𧐣	liwhr
𧓘	liwji
𧊭	liwk
𧋱	liwks
𧊫	liwku
𧍪	liwlb
𧎖	liwle
𧑩	liwlv
𧔘	liwlv
𧏈	liwmu
𧍥	liwmv
𧋡	liwng
𧎁	liwol
𧍤	liwp
𧒪	liwrc
𧑌	liwtc
𧏻	liwtj
𧕫	liwwg
𧉯	liwyi
𧔷	liyag
𧌸	liyaj
𧍝	liybb
𧒖	liybb
𧕮	liybg
𧖃	liybk
𧏸	liycb
𧍄	liycu
𧑒	liydk
𧐒	liydl
𧓩	liyec
𧒷	liyed
𧑙	liyfu
𧏴	liyhr
𧐖	liyjj
𧋧	liykg
𧏎	liyki
𧋻	liykr
𧉽	liylb
𧊤	liylc
𧔥	liylc
𧑔	liyle
𧉀	liylm
𧒭	liylo
𧌂	liymh
𧍐	liymn
𧏿	liymo
𪘅	liymu
𧐺	liynb
𧕳	liynq
𧉆	liyo
𧌊	liyok
𧎍	liypd
𧐅	liypm
𧌧	liypn
𧌭	liypo
𧐪	liypo
𧓻	liypp
𧕓	liypu
