𧎸	liyrb
𧐛	liyre
𧌬	liyrf
𧔫	liyrj
𧐾	liyrl
𧐢	liyru
𧖗	liyrv
𧐗	liyso
𧉼	liyt
𧒲	liytc
𧑆	liytg
𧕆	liyti
𧏹	liyto
𧏑	liytt
𧏵	liytu
𧒴	liytu
𧌃	liytv
𧒱	liyvg
𧊏	liyvo
𧐤	liyvq
𧊷	liyvv
𧏷	liyvw
𧖋	liywl
𧕚	liyxf
𦘒	lj
𧘟	ljb
𧜖	ljbc
𧚆	ljbd
𧛻	ljbf
𧞍	ljbf
𦘝	ljbl
𧟘	ljbv
𧛗	ljck
𧚬	ljcm
𧙕	ljd
𧞳	ljhf
𧙇	ljhu
𧞛	ljig
𧚶	ljih
𤛙	ljihq
𧞬	ljim
𧘵	ljip
𧛷	ljir
𧘓	ljk
𧙲	ljks
𧚨	ljlo
𧛪	ljmr
𧚁	ljmu
𢙻	ljpks
𦘛	ljpsl
𧜅	ljqr
𧙖	ljr
𧛞	ljrb
𧜮	ljse
𧟑	ljtf
𢍖	ljtl
𧝱	ljtu
𧞼	ljtv
𧝄	ljwf
𧝭	lkcc
𧝜	lkcf
𧜁	lkde
𪀎	lkhaf
𧜹	lkhb
𣭂	lkhqu
𪚻	lkhxu
𧘹	lki
𠁴	lkkk
𧙛	lklb
𤬺	lkmvn
𧙣	lkn
𪚻	lknxu
𨾳	lkog
𠤜	lkp
𧜵	lkpb
𧛍	lkpu
𧙗	lkr
𧝂	lkrc
𢁄	lkru
𪓛	lkrxu
𩢥	lksqf
𦇆	lkvif
𤗱	llaib
𤗘	llamo
𣈱	llaph
𤰷	llau
𤖾	llbmr
𧞑	llbo
𤗉	llcip
𤖭	llcsh
𤖷	lldhe
𡬤	lldi
𣌾	lldw
𤗗	lldw
𤗛	lldwf
𤗾	llfbw
𤗷	llfdq
𤘀	llgni
𤗿	llgrg
𪔥	llgte
