𩅤	mbddk
𩃲	mbdff
𥀫	mbdhe
𩂃	mbdk
𩂺	mbdl
𩃝	mbdok
𩄃	mbdpu
𩆥	mbdsk
𠭍	mbe
𠭿	mbe
𩂍	mbe
𩆓	mbeae
𩅹	mbeau
𩅳	mbeav
𩅴	mbebj
𩂸	mbebn
𩆍	mbebu
𩃍	mbeci
𩆤	mbedb
𩅪	mbedu
𩃯	mbef
𩆩	mbegi
𩄂	mbehv
𩆎	mbehw
𩅿	mbeii
𩃦	mbeir
𩅻	mbeja
𩅠	mbejb
𩃱	mbejp
𩄼	mbely
𩄋	mbemb
𩂧	mbems
𩂷	mbemu
𠀸	mben
𩃵	mbend
𩃁	mbene
𩄬	mbenu
𩃰	mbeod
𩆀	mbeoe
𩆯	mbeoo
𩆭	mberi
𩅕	mbesb
𩆸	mbesg
𩇋	mbesj
𩃚	mbeyi
𩅅	mbeyj
𩃎	mbeys
𩃜	mbeyt
𤆱	mbf
𩅌	mbfbk
𩂮	mbfd
𩄧	mbfdk
𩄶	mbfdo
𧟼	mbfgg
𡊹	mbg
𩰳	mbgg
𩆔	mbgig
𩅀	mbgji
𩅚	mbgog
𩃇	mbgpm
𪂕	mbhaf
𪈊	mbhaf
𩄷	mbhar
𩂤	mbhby
𩄞	mbhdd
𩄍	mbhdf
𩃻	mbhdh
𩂫	mbhee
𩆲	mbheh
𩂣	mbher
𩂓	mbhey
𩂐	mbhg
𩅺	mbhhc
𦓘	mbhhh
𩁺	mbhhh
𩅓	mbhhk
𩂞	mbhhl
𩃒	mbhjm
𩃹	mbhjx
𩆅	mbhkm
𩄗	mbhmd
𩂋	mbhml
𧟣	mbhn
𩁸	mbhn
𩄏	mbhni
𧠃	mbhoe
𩂹	mbhoe
𩄦	mbhoj
𩇐	mbhon
𣰄	mbhqu
𩅢	mbhsk
𩃞	mbhss
𩅶	mbhss
𠧍	mbht
𧟨	mbht
𩅧	mbhto
𩳧	mbhui
𩳮	mbhui
𩂡	mbhvo
𩅒	mbhxk
