𩂉	mbmk
𩆣	mbmkn
𢄀	mbmlb
𩄪	mbmlf
𩂼	mbmlk
𩂲	mbmlo
𩅸	mbmlw
𠕂	mbmm
𠕅	mbmm
𩅣	mbmmi
𩁷	mbmn
𩃴	mbmnb
𩄰	mbmnf
𩂶	mbmnn
𩆂	mbmoc
𩆃	mbmoc
𩱇	mbmrb
𩃼	mbmrh
𩂒	mbmru
𩂚	mbmso
𩂳	mbmtc
𩃋	mbmth
𩂁	mbmu
𩅨	mbmua
𩃾	mbmui
𩄁	mbmui
𡭃	mbmvi
𩰹	mbmvm
𤭃	mbmvn
𩆑	mbmwe
𩁶	mbn
𩁽	mbn
𩆊	mbnau
𩁾	mbne
𩆵	mbnfq
𩱂	mbngg
𩅗	mbnhr
𩅬	mbnhr
𩄯	mbnhu
𩂭	mbnin
𩄙	mbniw
𩃀	mbnkm
𩱃	mbnkq
𩃀	mbnkv
𨜄	mbnl
𨜥	mbnl
𨞺	mbnl
𩅡	mbnlb
𩄛	mbnlj
𩅥	mbnlo
𩆰	mbnlo
𩄐	mbnlq
𩅭	mbnmn
𩄉	mbnoa
𩰰	mbnom
𩆫	mbnos
𠣉	mbnus
𩅔	mbnwf
𩃊	mbnwu
𩂯	mbod
𩂛	mbodi
𩇈	mboee
𨾿	mbog
𩁃	mbog
𩁖	mbog
𩀝	mboge
𩄸	mboge
𩆿	mboge
𩃐	mbohi
𩃐	mbohm
𩃥	mbohn
𩂢	mboho
𩄈	mboii
𩆷	mboim
𩂇	mboin
𩂠	mboip
𩃪	mboli
𩃫	mboma
𩆁	mboma
𩂇	mbomn
𩅼	mbomo
𩂙	mboni
𩃺	mbonk
𩅋	mbonq
𩃔	mbooi
𩃢	mbooi
𩂢	mbooo
𩄴	mboqq
𩂖	mbos
𩆈	mbotu
𩆈	mbotv
𩃅	mboyr
𢣭	mbp
𢤔	mbp
𩂈	mbp
𩄚	mbpbc
𩄠	mbpbc
𩂂	mbphh
𩂜	mbpkk
𩃆	mbpmm
