𤨹	mgmbd
𤫑	mgmbe
𤫘	mgmbe
𤫩	mgmbo
𤫢	mgmbr
𤧋	mgmbv
𤨁	mgmca
𤫕	mgmce
𤥒	mgmcw
𦤹	mgmf
𤪙	mgmfb
𤥙	mgmfe
𤥆	mgmgb
𤦐	mgmgg
𦥏	mgmgg
𤪴	mgmgh
𤩙	mgmgp
𤪾	mgmhi
𤤲	mgmhn
𤥇	mgmig
𤤞	mgmiu
𤤇	mgmk
𤥅	mgmll
𤦩	mgmlm
𤭾	mgmln
𤥗	mgmls
𤫟	mgmmp
𤩾	mgmmw
𤧮	mgmnd
𤤝	mgmob
𤦿	mgmor
𤦾	mgmov
𤪵	mgmpo
𤤟	mgmr
𤤑	mgmsl
𤥨	mgmso
𤣿	mgmt
𤪲	mgmtb
𤧶	mgmue
𦥍	mgmue
𤤈	mgmvi
𤤍	mgmvu
𤩗	mgmwd
𤨧	mgmwf
𤧕	mgmwg
𤧄	mgmwv
𤩪	mgnao
𤥺	mgnbk
𤩞	mgnce
𤦕	mgndt
𤣻	mgne
𤫋	mgnfc
𤧱	mgnib
𤥌	mgnil
𤤂	mgnin
𤥀	mgnin
𤥁	mgnir
𤦱	mgniw
𤤫	mgniy
𤣭	mgnj
𤣲	mgnj
𤥻	mgnkm
𤧣	mgnkq
𨞋	mgnl
𨞬	mgnl
𨟓	mgnl
𤩈	mgnmr
𤥕	mgnmu
𣢶	mgno
𦤷	mgno
𤥍	mgnoh
𤧔	mgnus
𤩆	mgnwe
𤩆	mgnwk
𤧓	mgnws
𣗜	mgod
𤤕	mgodi
𨾽	mgog
𤦍	mgohn
𤦬	mgoip
𤥖	mgojm
𦤶	mgok
𤥬	mgokh
𤦎	mgomb
𤧂	mgomi
𤦬	mgomp
𤪂	mgomp
𤦜	mgomr
𤩣	mgomu
𤣮	mgon
𤧝	mgonk
𠩟	mgoo
𤦴	mgooa
𤨜	mgooc
𤪩	mgoom
𤤽	mgop
𤤩	mgopd
𤦸	mgord
𤪟	mgoto
𤪕	mgotq
