圡	gi
暬	gia
朅	giapv
埌	giav
盍	gibt
贄	gibuc
埈	gice
槷	gid
漐	gie
熱	gif
墊	gig
堼	gig
幫	gihab
鷙	gihaf
墄	gihf
犎	gihq
堿	gihr
城	gihs
魗	gihui
墋	giih
埔	gijb
坺	gike
垅	gikp
勢	giks
劫	giks
墉	gilb
幇	gilb
蟄	gilmi
刦	giln
塘	gilr
邿	ginl
垿	ginn
埃	giok
慹	gip
摯	giq
摰	giq
坮	gir
域	girm
唟	girp
鼁	girxu
刧	gish
刼	gishi
刼	gisk
却	gisl
叝	gisle
翿	gismm
騺	gisqf
驇	gisqf
墭	gist
弆	git
壙	gitc
墌	gitf
鞤	gitlj
縶	givif
塶	gixp
褺	giyhv
謺	giymr
填	gjbc
埴	gjbm
坹	gjc
堗	gjck
埪	gjcm
塎	gjcr
垨	gjdi
轂	gjhne
垞	gjhp
瓡	gjhvo
塼	gjii
墘	gjjn
堵	gjka
執	gjkni
塇	gjmm
坾	gjmn
埞	gjmo
垸	gjmu
埦	gjnu
坨	gjp
報	gjsle
墳	gjtc
垵	gjv
壊	gjwv
盩	gkbt
贅	gkbuc
鏊	gkc
熬	gkf
鷔	gkhaf
獒	gkik
塽	gkkk
螫	gklmi
螯	gklmi
埯	gklu
堶	gkmb
埼	gkmr
垮	gkms
鰲	gknwf
埉	gkoo
墆	gkpb
摮	gkq
嗸	gkr
鼇	gkrxu
