𣩀	mnisb
𣨲	mnite
𣧡	mniv
𣩏	mnixp
𠦕	mnj
𠦘	mnj
𠦦	mnj
𤬧	mnj
𣩵	mnjac
𣧨	mnjbh
𣨩	mnjbm
𣪀	mnjcc
𠪬	mnje
𣩘	mnjii
𤮍	mnjii
𠪚	mnjk
𣩐	mnjoa
𨺶	mnjoe
𠫊	mnjp
𣨭	mnjrr
𨋑	mnjwj
𣧂	mnk
𣩢	mnkcf
𠩢	mnkg
𣧦	mnklb
𣦺	mnks
𣩳	mnkua
𢁳	mnlb
𧒈	mnlii
𣧇	mnliu
𤮃	mnlkt
𧉨	mnlmi
𧊿	mnlmi
𧓐	mnlmi
𠞺	mnlnr
𩐁	mnlsm
𣧴	mnlwo
𣨃	mnlwy
𤮑	mnlyp
𩒣	mnmbc
𢧻	mnmbi
𦓓	mnmbl
𣦿	mnmd
𣩋	mnmfs
𤤶	mnmgi
𣨂	mnmig
𠀞	mnmln
𣨇	mnmls
𣧸	mnmmo
𣩤	mnmmp
𣧁	mnmms
𣍌	mnmna
𣧿	mnmnn
𣧤	mnmnr
𧰳	mnmo
𣧰	mnmob
𥓬	mnmr
𤮄	mnmrb
𧰛	mnmrt
𢧖	mnmui
𤬳	mnmvn
𣩙	mnmyf
𣨍	mnnbg
𣧊	mnng
𣧉	mnnhe
𠀲	mnnin
𤬫	mnnj
𨚌	mnnl
𣧼	mnnmu
𣧓	mnnnn
𣢬	mnno
𣤔	mnno
𣧋	mnno
𣩶	mnnom
𣩟	mnnot
𣩊	mnnqd
𩧮	mnnvm
𩻊	mnnwf
𩼭	mnnwf
𣢈	mno
𣦹	mno
𣧍	mnob
𤬲	mnob
𣧻	mnobo
𣧠	mnof
𣨫	mnog
𨾸	mnog
𣨔	mnoha
𤬻	mnoii
𤭙	mnoir
𦈩	mnoju
𣧭	mnom
𣩮	mnoma
𤬯	mnomn
𤬻	mnomn
𤭷	mnomn
𤭙	mnomr
𣨡	mnomu
𣨎	mnoog
𣨐	mnoos
