𣧫	mnos
𢢭	mnp
𢣓	mnp
𢥍	mnp
𤬱	mnphh
𣧀	mnpi
𣧔	mnpi
𣨧	mnpib
𣧬	mnpr
𢀜	mnq
𣧙	mnq
𣨋	mnqhl
𣨞	mnqkq
𣨊	mnqll
𣨊	mnqln
𤩍	mnqo
𤮌	mnqyv
𣨕	mnrhr
𣧟	mnrvp
𤮗	mnrvr
𤮒	mnsfv
𣧹	mnsj
𦕓	mnsj
𣩚	mnsjr
𣩰	mnsmg
𣩍	mnsmh
𤭖	mnsmi
𩢾	mnsqf
𤮥	mnsro
𣩛	mnsrr
𣨢	mnsuu
𣩎	mntak
𤮠	mntbo
𠔣	mntc
𣩧	mntce
𣩲	mntcg
𣨳	mntcl
𣩠	mntcl
𣩧	mntgr
𣩱	mntgt
𣨘	mnthk
𩠑	mnthu
𣨼	mntjb
𣨽	mntlk
𣨴	mntmd
𣩫	mntmd
𣩷	mntnf
𣨠	mntp
𣩨	mntpd
𦍙	mntq
𣩈	mntqm
𤮳	mntrg
𤭅	mntt
𣩒	mntwa
𣩣	mntyd
𢀗	mnu
𣧈	mnu
𣧑	mnuk
𣩑	mnuog
𣧪	mnuu
𣧥	mnvis
𣩗	mnvmi
𣨸	mnvnn
𣨶	mnvno
𣦾	mnvp
𧵜	mnvvc
𩒆	mnvvc
𣩓	mnvvd
𣧽	mnvvu
𣨪	mnwd
𣩔	mnwjc
𣩥	mnwlc
𣩿	mnwlg
𣧝	mnwo
𣨨	mnwre
𤳓	mnwtc
𪚗	mnybp
𣧏	mnye
𣩌	mnyeq
𣃪	mnyhs
𧞕	mnyhv
𧞙	mnyhv
𣨚	mnyid
𣨹	mnykh
𣧐	mnylm
𠄨	mnym
𣩪	mnymh
𣨌	mnymr
𧦬	mnymr
𤴕	mnyo
𣨛	mnyoj
𠅗	mnyok
𣨜	mnyok
𣩅	mnyrb
𣨣	mnyrf
𣨉	mnyrn
𣩽	mnyrv
𣨝	mnysy
𤭵	mnyta
𣩜	mnytu
