聱	gksj
驁	gksqf
嶅	gku
嫯	gkv
謷	gkymr
坱	glbk
埭	gle
圳	glll
坲	glln
塿	gllv
墤	glmc
垗	glmo
壗	glmt
赤	glnc
垏	glq
坤	glwl
垣	gmam
壩	gmbb
壖	gmbb
墵	gmbi
堧	gmbk
鋆	gmc
圩	gmd
坏	gmf
坪	gmfj
坯	gmfm
堐	gmgg
塬	gmhf
壢	gmhm
垤	gmig
坜	gmks
埂	gmlk
埡	gmlm
坛	gmmi
圬	gmms
坃	gmmu
圢	gmn
坷	gmnr
坧	gmr
塥	gmrb
堛	gmrw
垭	gmtc
坘	gmvm
塛	gmwd
墂	gmwf
堙	gmwg
壥	gmwg
墰	gmwj
壃	gmwm
圷	gmy
墕	gmyf
堍	gnai
埆	gnbg	gnb'g
埆	gnbq	gnb'q
圾	gnhe
殼	gnhne
彀	gnhne
殻	gnhne
埳	gnhx
埇	gnib
垑	gnin
埏	gnkm
埏	gnkv
燾	gnmf
壽	gnmi
垝	gnmu
坎	gno
壻	gnob
墢	gnoe
墱	gnot
垜	gnsd
埩	gnsd
场	gnsh
圦	go
塲	goah
趕	goamj
趧	goamo
趄	gobm
趛	goc
坿	godi
赽	godk
趚	godl
趙	gofb
趟	gofbr	gofb'r
赻	gofh
堆	gog
趬	goggu
趌	gogr
趎	gohjd
趏	gohjr
趫	gohkb
赾	gohml
趓	gohnd
豰	gohne
趆	gohpm
趃	gohqo
趲	gohuc
趱	gohuo
趆	gohvi
赿	gohvp
