𪙲	mvymu
𤰓	mw
𣆛	mwa
𩉇	mwabk
𩈝	mwahe
𩈍	mwam
𨠚	mwam
𨣉	mwana
𨣇	mwanb
𨣅	mwase
𩈆	mwau
𨢥	mwawe
𨢎	mwbac
𩈹	mwbac
𨣯	mwbbl
𨣯	mwbbn
𨡑	mwbgr
𩈮	mwbgr
𨠁	mwbhn
𩈌	mwbhn
𨢝	mwbhx
𨡫	mwbjj
𩉄	mwbkf
𨢊	mwbmo
𨣥	mwbne
𨢵	mwbof
𧟱	mwbse
𧟵	mwbse
𩉗	mwbug
𨡁	mwbuu
𨢻	mwbuv
𨤊	mwbwe
𠪨	mwcg
𨡙	mwcwj
𨣜	mwdbc
𨣤	mwddf
𤿢	mwdhe
𨠜	mwdhe
𩈃	mwdi
𩈶	mwdmf
𨡋	mwdr
𨤇	mwdwa
𠀯	mwe
𣳳	mwe
𨠊	mwe
𨡍	mwea
𨡬	mwebt
𨠈	mwee
𨢆	mweed
𩈽	mweev
𨣕	mweot
𨡀	mwfb
𨣛	mwfbt
𨣃	mwffs
𨤂	mwffw
𨠵	mwfmu
𨡝	mwgbt
𠪩	mwgf
𨠘	mwha
𨤄	mwhab
𨡹	mwhae
𪀹	mwhaf
𪅳	mwhaf
𪆼	mwhaf
𨡘	mwhbn
𨢼	mwhce
𩈒	mwhd
𨡲	mwhdf
𨡌	mwhdv
𨡃	mwhej
𨠱	mwhes
𨠌	mwhey
𨢑	mwhhc
𩈛	mwhhv
𨢇	mwhhw
𨣫	mwhij
𠩶	mwhj
𩈙	mwhjr
𨠋	mwhlo
𨠇	mwhml
𣦂	mwhn
𨟱	mwhni
𩗏	mwhni
𩉓	mwhoc
𨣟	mwhok
𨣏	mwhor
𨠏	mwhpm
𧟶	mwhqb
𨠠	mwhqm
𣮿	mwhqu
𩈺	mwhrf
𩈜	mwhrr
𨤆	mwhuc
𩈸	mwhuk
𩈕	mwhvo
𨟾	mwhvp
𨡕	mwhwj
𨢨	mwhwp
𨣦	mwhxc
𨤉	mwhxv
