坽	goii
垘	goik
趑	goimo
坅	goin
趦	goior
埝	goip
越	goiv
趤	gojmr
赵	gok
坆	gok
垁	gok
赲	goks
圿	goll
趒	golmo
趀	golxh
坵	gom
埨	gomb
趰	gomfb
赶	gomj
趑	gommo
堬	gomn
趔	gomnn
垥	gomr
圪	gon
趂	gonf
趍	gonin
堠	gonk
趢	gonme
赼	gono
趓	gonsd
趋	gonsm	gons'm
趡	goog
趭	googf
趁	goohh
赺	gooin
趝	gooip
趖	gooog
趜	gopfd
赹	gopim
赹	gopmm
趨	gopuu
堢	gord
趮	gorrd
塩	gort
起	goru
墖	gorw
趗	goryo
超	goshr
趘	goshu
趣	gosje
趯	gosmg
趐	gosmm
起	gosu
趞	gota
趥	gotcw
墲	gotf
趪	gotlc
赸	gou
趉	gouu
赳	govl
趢	govne
嗇	gowr	gow'r
趩	gowtc
赴	goy
趠	goyaj
趈	goyr
趇	goyt
志	gp
塡	gpbc
覟	gpbuu
地	gpd
圽	gphh
圴	gpi
均	gpim
均	gpmm
堩	gpmm
堦	gppa
坸	gpr
垉	gpru
堞	gptd
坉	gpu
坞	gpvm
毂	gqhne
垹	gqjl
堾	gqka
埲	gqkq
埥	gqmb
塐	gqmf
吉	gr
埍	grb
塤	grbc
臺	grbg
埙	grbo
喆	grgr
囍	grgrr
嚞	grgrr
鴶	grhaf
埕	grhg
嗀	grhne
袁	grhv
