𩺹	nfibs
𩶄	nfid
𩷋	nfifu
𩶢	nfihq
𩻦	nfiip
𩶺	nfij
𩶄	nfijc
𩵥	nfik
𩻟	nfikf
𩹧	nfikp
𩹶	nfilr
𩶙	nfine
𩸅	nfioi
𢎓	nfip
𩽁	nfipf
𩸭	nfisk
𩼔	nfitc
𩷙	nfiuh
𩼼	nfiwg
𩺮	nfixp
𩼁	nfjal
𩺘	nfjbc
𩷚	nfjbd
𩹞	nfjbj
𩸨	nfjbm
𩵾	nfje
𩹔	nfjfe
𩶱	nfjhp
𩹃	nfjhr
𩻅	nfjic
𩽠	nfjif
𩽅	nfjim
𩹯	nfjir
𩻹	nfjjb
𩼛	nfjjj
𩷨	nfjkd
𩸸	nfjlv
𩼧	nfjmc
𩶂	nfjmn
𩸎	nfjmo
𩸩	nfjnu
𩼵	nfjre
𩸘	nfjrr
𩼶	nfjsh
𩽜	nfjto
𩺚	nfkcf
𩻻	nfkcf
𩶼	nfkd
𩻈	nfkde
𩺕	nfkdk
𩵼	nfke
𩽉	nfkhe
𩷎	nfkhf
𩷗	nfkhg
𩵲	nfkk
𩶉	nfklb
𩶦	nfklg
𩸆	nfklu
𩸆	nfklv
𩸞	nfkmr
𩵍	nfkn
𩷟	nfkoo
𩶮	nfkq
𩺙	nfkrb
𠢰	nfks
𠢴	nfks
𩵓	nfks
𩶛	nfksr
𩺋	nfkyn
𩵵	nfl
𩸙	nfle
𩻽	nflgm
𩵙	nflll
𩶥	nflmi
𩶍	nflms
𩺅	nflmw
𩻨	nflmw
𠞎	nfln
𠟮	nfln
𩽋	nflvk
𩶳	nflwk
𩻺	nflyp
𩺏	nfmaa
𩺂	nfmbb
𩻞	nfmbb
𩽷	nfmbb
𩹸	nfmbc
𩹐	nfmbe
𩽇	nfmbe
𩻆	nfmbi
𩹓	nfmbk
𩼲	nfmbp
𩵣	nfmf
𩶨	nfmfj
𩷾	nfmfl
𩵭	nfmg
𩽗	nfmgb
𩹈	nfmge
𨤰	nfmgg
𩺡	nfmgg
