劼	grks
頡	grmbc
颉	grmbo
噽	grmfm
嚭	grmfr
埕	grmg
郆	grnl
歖	grno
欯	grno
埚	grob
墠	grrj
壧	grrk
堮	grrs
喪	grrv
翓	grsmm
壴	grt
熹	grtf
憙	grtp
喜	grtr
嘉	grtr
圯	gru
垊	grvp
敼	grye
堰	gsav	gs'av
墀	gseq
墛	gsfi
壏	gsit
壣	gsjt
壭	gsl
埽	gsmb
埐	gsme
敖	gsok
坭	gsp
壀	gsrj
塸	gsrr	gs'rr
垇	gssu
塀	gstt
圮	gsu
堀	gsuu
塻	gtak
垬	gtc
墣	gtco
塨	gtcp
塧	gtct
塂	gtcu
皷	gtdhe
皼	gtdhe
尌	gtdi
墡	gtgr
壒	gtgt
鷧	gthaf
彭	gthhh
懿	gtiop
幸	gtj
墸	gtja
鼓	gtje
墴	gtlc
墐	gtlm
坩	gtm	gt'm
墴	gtmc
墷	gtmj
懿	gtmop
堪	gtmv
埖	gtop
塔	gtor
垟	gtq
壦	gtrg
壾	gtss
垪	gtt
墡	gttr
亄	gtu
墈	gtvs
墫	gtwi
壿	gtwi
鼔	gtye
塃	gtyu
圠	gu
圸	gu
塴	gubb
堫	guce
瞉	guhne
顤	gumbc
堓	gumj
塏	gumt
墔	guog
埁	guon
翹	gusmm
垲	gusu
壪	gvfn
坳	gvis
堟	gvno
堖	gvvw
堁	gwd
埋	gwg
毐	gwj
毐	gwjh
堌	gwjr	gw'jr
堣	gwlb
賣	gwlc
墿	gwlj
