𩹝	nfqmy
𩵩	nfqo
𩷠	nfqyn
𩷫	nfrb
𩷣	nfrhg
𩻂	nfrjw
𩽴	nfrrk
𩺑	nfrrs
𩻙	nfrru
𩹫	nfrsj
𩷤	nfrsn
𩵗	nfru
𩻝	nfruc
𩸠	nfrvb
𩻝	nfrvc
𩶭	nfrvk
𩼦	nfseo
𩷂	nfshh
𩵕	nfshi
𩷳	nfshu
𩽪	nfsjj
𩸾	nfsjl
𩺎	nfsmi
𩼳	nfsmt
𩸕	nfsmv
𩻣	nfsnd
𩼎	nfsrj
𩺐	nfsrl
𩷐	nfssr
𩺱	nfstr
𩷱	nfsup
𩻁	nftak
𩼚	nftal
𩼙	nftav
𩼋	nftcd
𩸏	nftd
𩺳	nfteh
𩽛	nftei
𩸌	nftfh
𩹦	nftgi
𩼷	nftgi
𩺻	nftgt
𩸑	nftgu
𩹖	nftgv
𩸚	nfthu
𩹛	nftih
𩼬	nftii
𩼘	nftir
𩽮	nftis
𩺆	nftjp
𩹜	nftjr
𩽡	nftkq
𩺴	nftlb
𩽒	nftlf
𩹅	nftlk
𩹮	nftmd
𩸜	nftmi
𩻮	nftmj
𩽃	nftnd
𩹋	nftnh
𩻓	nftod
𩸽	nftop
𩺗	nftor
𩼺	nftor
𩹦	nftqi
𩼃	nftrk
𩽭	nftst
𩹁	nfttc
𩼑	nftti
𩼰	nftvp
𩻧	nftwd
𩼅	nftwv
𩹩	nftyb
𩺵	nftyj
𩷶	nftyv
𩺊	nftyv
𩼕	nfuce
𩶚	nfuf
𩻃	nfujf
𡒐	nfukg
𩷇	nfuku
𩺉	nfumi
𩸶	nfumr
𩷘	nfune
𩽨	nfuob
𩷒	nfuon
𩽌	nfuos
𩶌	nfuu
𩷜	nfuys
𡝠	nfv
𡝡	nfv
𩹾	nfvfb
𩷊	nfvlk
𩷅	nfvme
𩻼	nfvmp
𩼍	nfvmp
𩽵	nfvoi
𩶡	nfvou
𩹂	nfwb
𩸄	nfwd
