𩼀	nfwdq
𣤿	nfweo
𩻤	nfwgf
𩼞	nfwgi
𩼯	nfwji
𩶾	nfwk
𩹌	nfwle
𩽰	nfwlg
𩽞	nfwlh
𩼟	nfwli
𩺩	nfwli
𩼓	nfwlj
𩻄	nfwlo
𢐮	nfwn
𩺷	nfwtj
𩶋	nfwyi
𩷹	nfyaj
𩼣	nfybb
𩹰	nfybc
𢾧	nfye
𩼇	nfyed
𩽍	nfyem
𩽐	nfyev
𩺍	nfyfd
𩶃	nfyg
𩼖	nfyhc
𩻏	nfyhm
𩶞	nfyhn
𩺬	nfyhr
𩽲	nfyhs
𩺼	nfyib
𩷮	nfyiv
𩵬	nfyj
𩼂	nfykb
𩽎	nfylc
𩷉	nfylc
𩻸	nfyle
𩷖	nfylh
𩻩	nfymm
𩶆	nfymp
𩷰	nfynj
𩵿	nfyns
𩺇	nfypk
𩻔	nfyql
𩺽	nfyre
𩽀	nfyrg
𩻗	nfyrl
𩹇	nfyrn
𩹗	nfyru
𩹊	nfysd
𩻀	nfysk
𩶘	nfyt
𩹎	nfyta
𩻡	nfytg
𩷔	nfytj
𩸬	nfytr
𩺝	nfytu
𩺿	nfytu
𩶶	nfyvv
𩹱	nfyvw
𩼤	nfywd
𩽱	nfywi
𩽶	nfywl
𩼆	nfywv
𡈾	ng
𢎳	ng
𤿥	ngdhe
𤿿	ngdhe
𢐾	ngfn
𩑧	ngmbc
𤮔	ngmvn
𡥆	ngnd
𧤪	ngnhs
𨙺	ngnl
𨜈	ngnl
𨞉	ngnl
𨿊	ngog
𡒒	ngphl
𢐉	ngsa
𡚽	ngv
𧥘	ngwli
𢽄	ngye
𥎒	nhabp
𥍴	nhaph
𢏐	nhbi
𥍩	nhbmr
𥍪	nhbsh
𥁛	nhbt
𥁜	nhbt
𥂂	nhbt
𥎡	nhbug
𥍠	nhcms
𥎢	nhdbf
𡬢	nhdi
𢐠	nhdw
𢐐	nhfn
𢏡	nhgu
𥍡	nhha
𥎤	nhhbf
𥎉	nhhec
