𨹸	nlshg
𨼑	nlsja
𨽦	nlsjj
𨺿	nlsjv
𨸟	nlsk
𨸰	nlskn
𨻃	nlsly
𨻸	nlsma
𨹟	nlsmb
𨺜	nlsmb
𨼔	nlsmi
𨼉	nlsmn
𨻭	nlsmt
𨻯	nlsmt
𨸭	nlsr
𨼳	nlsrg
𨹻	nltbc
𨼿	nltbo
𨼂	nltcg
𨺧	nltcw
𨺰	nltgk
𨻹	nltgt
𨽈	nltgt
𨼜	nlthm
𨽞	nltlf
𨻜	nltlg
𨺌	nltmc
𨼣	nltmj
𨹯	nltms
𨼲	nltoi
𨻇	nltor
𨼞	nltpu
𨽣	nltrd
𨽧	nltrg
𨹗	nltt
𨼷	nltwt
𨼙	nltyd
𨻱	nlubb
𨼅	nluc
𨺡	nluce
𨺂	nlune
𨻵	nluog
𨽰	nluou
𨸸	nluq
𨻍	nluuf
𨻎	nluye
𨼎	nlvfu
𨻨	nlvvc
𨻩	nlvvf
𨻞	nlwcr
𨺁	nlwd
𨸺	nlwl
𨽉	nlwla
𨼸	nlwlj
𨺬	nlwol
𨺯	nlwp
𨹰	nlwsl
𨻽	nlwvf
𢏮	nlxl
𨺑	nlyaj
𨺟	nlybc
𨺊	nlybn
𨼨	nlybu
𨹍	nlyck
𨼛	nlycn
𨺥	nlycu
𨺏	nlyfe
𨽗	nlyhc
𨽥	nlyhf
𨻡	nlyhr
𨻓	nlyir
𨻕	nlykj
𨽟	nlylc
𨺗	nlylo
𨹀	nlymp
𨽛	nlyol
𨽚	nlypb
𨼋	nlypc
𨻲	nlypd
𨼋	nlypm
𨼫	nlypo
𨽜	nlypt
𨺱	nlyrn
𣯱	nlyru
𨽢	nlyrv
𪁢	nlysf
𨹛	nlysg
𨼁	nlysg
𩗧	nlysn
𨼻	nlysv
𨽖	nlysv
𨻫	nlytu
𨸫	nlyvi
𨼀	nlyvq
𢐤	nmaa
𣇇	nmam
𩨀	nmapv
𩨌	nmasm
𢐝	nmau
𢐰	nmbb
