𢝵	nop
𢞵	noph
𢑪	nopr
𨛾	norau
𢀾	noru
𤼯	noryo
𦣮	nosll
𢬬	nosu
𤼥	nosu
𡶕	nou
𡚰	nov
𡛹	nov
𡟨	nov
𡣀	nov
𤼼	novhe
𦄳	novif
𩙺	nowtc
𤼧	noye
𤼬	noyme
𧦴	noymr
𤼻	noymu
𢖮	nph
𪂺	nphaf
𪄢	nphaf
𪇤	nphaf
𠢒	npks
𢐨	npun
𧮐	npymr
𢩦	nq
𪀾	nqhaf
𧥁	nqhbr
𤯲	nqhqm
𪉋	nqhsm
𠢲	nqks
𩧶	nqnvm
𩼠	nqnwf
𢢣	nqp
𧢶	nqp
𢫰	nqq
𢵠	nqq
𠂐	nqs
𩣏	nqsqf
𠮞	nr
𠮥	nr
𤆨	nrf
𤎧	nrf
𤑰	nrf
𪆇	nrhaf
𪆻	nrhaf
𦒯	nrhey
𠸛	nrhgu
𣪾	nrhne
𦒫	nrhnm
𢨕	nri
𢻇	nrje
𠟧	nrln
𢏈	nrlr
𨚷	nrnl
𨿅	nrog
𩁏	nrog
𧫹	nroii
𠹨	nros
𢢧	nrp
𣬒	nrpk
𣔵	nrppd
𣬚	nrppi
𣬎	nrppk
𣬐	nrppk
𤟭	nrppk
𣬕	nrppr
𪚺	nrrm
𢐆	nrrn
𡅖	nrtov
𡖚	nrtt
𢿟	nrye
𣀁	nrye
𡖺	nryok
𠄎	ns
𣊃	nsa
𡙝	nsahk
𥉠	nsbu
𧶻	nsbuc
𣏻	nsd
𣖶	nsd
𠃮	nse
𡭘	nsf
𤆄	nsf
𩿿	nshaf
𡕔	nshe
𠃓	nshh
𢒀	nshhh
𢒁	nshhh
𠑾	nshu
𢧙	nsi
𢎍	nsipm
𦔰	nsj
𢐩	nsji
𧈦	nslmi
𧎻	nslmi
𩔘	nsmbc
