𠍒	oanr
𠐩	oanx
𠑆	oanx
𠑑	oanx
𩁆	oaog
𨞡	oarau
𢍑	oat
𠇕	oau
𠑔	oaud
𠎠	oayf
𪛋	obaa
𠋶	obac
𦡝	obbbe
𦛷	obbdi
𠊰	obbr
𠏢	obbu
𧷴	obbuc
𧢢	obbuu
𠍥	obco
𤿏	obdhe
𦚆	obdhe
𤏛	obf
𤏹	obf
𠑇	obfc
𠐴	obff
𦙧	obfh
𦚓	obfq
𦞊	obfqb
𦝘	obfqu
𡐏	obg
𡓉	obg
𡓷	obg
𦚒	obgi
𦛶	obgil
𪈕	obhaf
𪅭	obhaf
𦜁	obhej
𦛃	obher
𠉰	obhg
𣗾	obhjd
𦧘	obhjr
𪛊	obhml
𪛖	obhuf
𦞱	obhui
𠋯	obhx
𠒯	obhxu
𪛕	obhxu
𧈛	obhyn
𧈛	obhyu
𪛓	obixp
𢨍	obji
𦡛	objtc
𦛅	objv
𦘾	obkni
𦜽	obkwu
𠈛	obln
𠈥	obmb
𠋠	obme
𠌠	obmg
𤣼	obmgi
𦧘	obmjr
𠁄	obmy
𠈥	obnb
𠊻	obnd
𠌀	obnd
𦜿	obnhx
𦞘	obnkq
𦙢	obnl
𨛇	obnl
𨝙	obnl
𪛖	obnuf
𪛕	obnxu
𠈕	obob
𢠙	obp
𢣍	obp
𦞉	obppa
𠇶	obr
𡃋	obrbc
𠍂	obrd
𠍟	obrn
𧨣	obrr
𠉠	obsh
𠐋	obsh
𦢢	obsmg
𦒈	obsmm
𦟖	obsqf
𢌷	obt
𦟦	obtak
𣍗	obtw
𥃦	obu
𥃮	obu
𠑩	obue
𠋝	obuh
𠊹	obuk
𠋬	obuk
𦘽	obv
𦡇	obwlj
𪛍	obypn
𪛌	obypn
𪛌	obypu
