𠊪	ogrt
𦗊	ogsj
𦑱	ogsmm
𡒪	ogtct
𠎎	ogth
𨝈	ogtl
𠌉	ogto
𠃲	ogu
𡜟	ogv
𡠓	ogv
𨾎	ogvk
𢽝	ogye
𧙨	ogyhv
𠌟	ohae
𠌵	ohaf
𠐉	ohal
𠈊	ohau
𠌔	ohau
𠐮	ohbd
𧠝	ohbuu
𡡚	ohbuv
𣐗	ohd
𠉑	ohds
𠏤	ohec
𠈬	oheg
𠉏	ohej
𠈍	ohev
𠇼	ohfd
𠓧	ohfd
𪀼	ohgf
𨿂	ohgg
𠎬	ohgi
𠑥	ohgi
𠌃	ohhw
𠇖	ohio
𠌤	ohjp
𠎷	ohkm
𠇩	ohll
𠋐	ohls
𠈩	ohmb
𠐽	ohmb
𩒉	ohmbc
𠌞	ohme
𠈁	ohmp
𠈡	ohnb
𠏵	ohnf
𠉘	ohnh
𠆩	ohni
𠆰	ohnl
𠐀	ohno
𠉫	ohog
𩝶	ohoiv
𩝶	ohomv
𠍹	ohor
𠏾	ohov
𢞫	ohp
𢟅	ohp
𠉣	ohpa
𠈟	ohpl
𠈲	ohpr
𪁃	ohqf
𠇷	ohqm
𠎔	ohqq
𠇔	ohqu
𠌥	ohrf
𠈆	ohrr
𠋅	ohsb
𠐬	ohsc
𠉱	ohss
𠏿	ohul
𠊏	ohun
𠐀	ohuo
𠐷	ohup
𠐈	ohus
𠇊	ohv
𠇓	ohvi
𠐫	ohvi
𠇗	ohvo
𠈈	ohwk
𠍸	ohwo
𠑎	ohxf
𠋟	ohxo
𠑗	ohxu
𠑣	ohxu
𠏙	ohxv
𤒙	ohyif
𠆲	oi
𩚣	oia
𩞗	oiabc
𩛛	oiac
𩜟	oiahl
𩞊	oiaiu
𩞯	oiamg
𩛧	oiamj
𩝊	oiamo
𩛿	oiaph
𩝣	oiasm
𩚥	oiau
𩟻	oiayv
𩝄	oibbr
