馡	halmy
笪	ham
皬	hambg
皇	hamg
筸	hamj
簡	hana
簢	hank
籣	hanw
馥	haoae
皊	haoii
馠	haoir
敀	haok
皂	hap
皀	hap
馝	haph
的	hapi
箟	happ
皍	hapsl
皘	haqmb
皟	haqmc
馜	hasp
皣	hatmj
皏	hatt
馦	hatxc
笆	hau
癿	hau
皚	haumt
皠	hauog
皑	hausu
皪	havid
簋	havt
畠	haw
馧	hawot
皎	hayck
梟	hayd
鳥	hayf
皉	haymp
鳬	hayn
皜	hayrb
島	hayu
裊	hayv
舋	hbbm
笧	hbbm
覺	hbbuu
爨	hbddf
澩	hbe
燢	hbf
爂	hbf
籐	hbfe
籘	hbff
壆	hbg
鶣	hbhaf
鷮	hbhaf
鷽	hbhaf
鵳	hbhaf
嚳	hbhgr
簲	hbhj
笕	hbhu
緜	hbhvf
奧	hbk
奥	hbk
筋	hbks
勪	hbks
制	hbln
笡	hbm
顅	hbmbc
釁	hbmch
璺	hbmgi
筒	hbmr	hb'mr
礐	hbmr
筯	hbms
甂	hbmvn
觷	hbnbg	hbnb'g
觷	hbnbq	hbnb'q
學	hbnd
筟	hbnd
鄅	hbnl
鱟	hbnwf
雤	hbog
敿	hbok
箆	hbop
甪	hbq	hb'q
向	hbr	hb'r
簓	hbrh
箏	hbsd
箙	hbse
翩	hbsmm
騗	hbsqf
血	hbt
笧	hbt
笽	hbt
黌	hbtlc
自	hbu
嶨	hbu
筫	hbuc
籰	hbue
纂	hbuf
篎	hbuh
篡	hbui
簒	hbui
