𩟌	oitgk
𩞖	oitgt
𩝅	oitgv
𩝳	oithb
𩜈	oithk
𩝭	oithm
𩟛	oitii
𩜣	oitjd
𩞘	oitlb
𩞩	oitlc
𩝨	oitlp
𩚵	oitm
𩞩	oitmc
𩝇	oitmd
𩜱	oitmv
𩟘	oitnf
𩞶	oitno
𩟓	oitoe
𩝌	oitpo
𠏛	oits
𠊴	oitu
𩝐	oitvi
𩞄	oitwa
𩟞	oitwn
𩟊	oitwv
𩛲	oityv
𩚂	oiu
𠈵	oiuh
𩞉	oiujf
𩜵	oiumb
𩝚	oiumi
𩜠	oiumr
𩜖	oiunf
𩞅	oiuog
𩟥	oiuos
𩛎	oiur
𩟑	oiuul
𠇘	oiv
𩚔	oiv
𩛂	oive
𩟧	oivid
𩜆	oivin
𩝴	oivmi
𩛼	oivne
𩛋	oivvu
𩝹	oivvu
𩜊	oivvw
𩚲	oiwl
𩟉	oiwlg
𩞾	oiwli
𩟁	oiwlv
𩟍	oiwod
𩞫	oiwtc
𠏰	oixf
𩚅	oiy
𩟂	oiybb
𩟭	oiybp
𩝾	oiycb
𩝿	oiycb
𩞍	oiydl
𩜂	oiyfe
𩞱	oiygj
𩟐	oiygq
𩜽	oiyhh
𩚠	oiyhs
𧝛	oiyhv
𩞡	oiyia
𩛭	oiyib
𩞙	oiyjj
𩟆	oiykb
𩜽	oiykh
𩛜	oiyki
𩞈	oiymo
𩚋	oiyn
𠏔	oiyo
𩜘	oiyoj
𧆺	oiypn
𧆺	oiypu
𩝝	oiyrb
𩛓	oiysl
𩜏	oiysy
𩜛	oiytl
𩟀	oiyvg
𩝲	oiyvw
𩟮	oiywv
𠓝	oj
𣉻	oja
𨳱	ojan
𠋲	ojbf
𠊙	ojbm
𠏴	ojbo
𠐑	ojbo
𠉊	ojbu
𠑘	ojcc
𠊯	ojce
𠊲	ojck
𠓯	ojcm
𠌌	ojcn
𠏨	ojcp
𠑅	ojct
