𠏅	ojcu
𠊢	ojcv
𠋢	ojfe
𢒑	ojhhh
𠈭	ojhq
𪉊	ojhsm
𠎫	ojjb
𠑭	ojjj
𠌲	ojjl
𠉻	ojkf
𠐟	ojkf
𠉕	ojle
𧐉	ojlmi
𠉯	ojlv
𩑤	ojmbc
𠋤	ojmg
𠑋	ojmgt
𠏶	ojmh
𠊿	ojmm
𠉵	ojmo
𠎟	ojmu
𠐏	ojnt
𠍊	ojoa
𨾟	ojog
𠍅	ojon
𠏷	ojpi
𠍌	ojpp
𠉗	ojru
𠋪	ojsl
𠌣	ojsr
𠐻	ojto
𠏯	ojtq
𠎾	ojtu
𦥽	ojvex
𦦓	ojvx
𠍶	ojwf
𢆏	ojyj
𠑙	ojyp
𦈢	ojyv
𥎭	oka
𥏅	okaj
𥏫	okamh
𥏿	okanr
𥏓	okat
𠉈	okb
𥐑	okbcv
𥏨	okbgr
𠍫	okbo
𥁮	okbt
𠋃	okbu
𥎶	okbu
𥏦	okbus
𠋚	okcb
𠏗	okcf
𣒼	okd
𥏞	okeee
𤌔	okf
𤒥	okf
𥏟	okfbf
𥏙	okfqu
𥐈	okfvk
𠋮	okgb
𥎰	okgi
𥎷	okha
𪄴	okhaf
𪄾	okhaf
𥏆	okhbu
𥏐	okhdn
𥏗	okhds
𥎮	okhe
𠍧	okhg
𥏌	okhgu
𥏱	okhjg
𥏵	okhlw
𠇳	okhn
𤛎	okhq
𥐊	okhsk
𩲶	okhui
𤫴	okhvo
𥏠	okhwj
𠆽	oki
𥎱	okike
𥎱	okikk
𥏖	okiok
𥎧	okj
𠍽	okja
𥏕	okjki
𥏢	okkcj
𥏤	okkcs
𠌂	okkj
𠓷	okkk
𥏜	okkmr
𠇴	okks
𥏣	okktj
𢅸	oklb
𠈚	oklg
𧍅	okli
𧊰	oklmi
𧌁	oklmi
𧍻	oklmi
