𢁹	omlb
𠂜	omlm
𠛲	omln
𠟊	omln
𠠃	omln
𠀉	omm
𠓞	omm
𢁭	ommb
𠇣	ommf
𨏜	ommjj
𨏇	ommjj
𠓡	omml
𠛷	ommn
𢚒	ommp
𠇙	ommr
𢔚	omms
𤭬	ommvn
𧭨	ommyr
𪙼	ommyu
𢂂	omnb
𠋕	omnd
𠌖	omnd
𢻶	omne
𣲎	omne
𨝫	omnl
𨗜	omnl
𡦈	omno
𣢥	omno
𣣽	omno
𢛪	omnp
𪚕	omnp
𪚙	omnp
𠈢	omnu
𠆭	omnv
𩚜	omnv
𨡣	omnw
𩻢	omnwf
𠇮	omob
𠌈	omob
𠍪	omof
𩛒	omoiv
𠍘	omoj
𠌺	omol
𠍩	omol
𠐰	omomm
𩛒	omomv
𠎃	omoq
𠈇	omow
𠉦	omow
𢗁	omp
𠍎	ompc
𠇢	ompk
𢘈	ompl
𢘔	ompu
𠇅	omr
𨚬	omrau
𠎤	omrb
𠋸	omrd
𨈿	omrh
𡄬	omri
𧿍	omro
𤛈	omrq
𠐞	omrr
𠋒	omrs
𥐃	omrss
𠋿	omsg
𠛺	omsh
𠜬	omsh
𦏾	omsm
𠆻	omt
𠇋	omt
𠉙	omtb
𠏊	omtc
𠎮	omto
𠐚	omtp
𠈓	omub
𠓸	omud
𠌘	omue
𡴌	omuf
𡛉	omv
𠬿	omvhe
𠋗	omvi
𥠌	omwd
𠑱	omwf
𠍍	omwi
𠍺	omwo
𨂮	omwo
𠌐	omwp
𠑵	omwr
𠓮	omwr
𠊼	omwt
𠎣	omwu
𠏹	omww
𠓥	omye
𧬑	omymr
𪘓	omymu
𠓿	omys
𨤾	omyt
𪊁	omywi
𠆤	on
