𦃚	oovif
𥊃	oowlu
𢍩	oowot
𠉒	oowu
𠍁	ooyk
𠇍	op
𠓣	op
𠊫	opad
𠍬	opal
𠋹	opas
𦙯	opb
𩾹	ophaf
𠆹	ophh
𠏦	ophn
𩲏	ophui
𩲜	ophui
𠊝	opir
𠍜	opjbm
𧊇	oplmi
𠛛	opln
𩑭	opmbc
𨣩	opmcw
𠋧	opmm
𡥖	opnd
𣢉	opno
𣣈	opno
𩶕	opnwf
𠊐	opou
𢘋	opp
𠈺	oppg
𠯒	opr
𠰰	opr
𠲒	opr
𠏈	opuu
𥿝	opvif
𠆿	opym
𪘕	opymu
𠓢	oq
𠎹	oqbe
𣜈	oqed
𡋚	oqg
𠎧	oqhf
𠎇	oqhk
𢧚	oqihs
𦎚	oqknq
𠌴	oqkx
𠍣	oqly
𠉩	oqmh
𨚶	oqnl
𢆘	oqno
𠎝	oqop
𠏝	oqou
𨚽	oqrau
𢆫	oqymh
𠉝	oqys
𣌭	ora
𥏯	oraj
𠿲	oram
𠉲	orau
𠉌	orb
𦚶	orb
𠎏	orbl
𠕧	orbr
𠎈	orbsd
𥅽	orbu
𠐗	orbuv
𡢣	orbvn
𧧹	orcr
𣑠	ord
𣔇	ord
𠑜	orfdt
𠵵	orfq
𡋛	org
𡌫	org
𪁟	orhaf
𠏸	orhdd
𣶚	orhe
𤙖	orhq
𤙣	orhq
𤯤	orhqm
𠍗	orhx
𠏓	orir
𢻆	orje
𧌲	orli
𠑴	orlib
𧊧	orlmi
𩓱	ormbc
𨠭	ormcw
𠏠	ormg
𤥓	ormgi
𠍰	ormi
𠼞	ormlm
𠇝	ormm
𠑮	ormo
𩞞	ormuu
𨢰	ormws
𡥫	ornd
𨛣	ornl
𨛭	ornl
𨜾	ornl
