算	hbut
筧	hbuu
篹	hbuu
籑	hbuv
农	hbv
敽	hbye
舟	hbyi	hby'i
乊	hc
臖	hcb
盨	hcbt
澃	hce
鸒	hchaf
夓	hche
籦	hchg
籛	hcii
轝	hcjwj
劉	hcln
劗	hcln
劕	hcln
礜	hcmr
乥	hcn
籙	hcne
酇	hcnl
鄮	hcnl
歟	hcno
舉	hcq
擧	hcq
嬃	hcv
籙	hcve
箪	hcwj
頾	hcymp
譽	hcymr
禾	hd
香	hda
穊	hdaiu
稈	hdamj
穝	hdase
策	hdb
稝	hdbb
稱	hdbgb
稠	hdbgr	hdb'gr
稻	hdbhx
稲	hdbla
租	hdbm
穩	hdbmp
秱	hdbmr	hdb'mr
箣	hdbn
稃	hdbnd
穄	hdbof
穏	hdbsp
盉	hdbt
箱	hdbu
穱	hdbwi
稊	hdcnh
稅	hdcru
税	hdcru
秎	hdcsh
箖	hdd
秛	hddhe
秣	hddj
稦	hddmq
释	hdeq
秋	hdf
稥	hdfa
稍	hdfb
秒	hdfh
秚	hdfq
稜	hdgce
稑	hdgcg
穑	hdgcw
秲	hdgdi
穘	hdggu
穡	hdgow
秸	hdgr
穯	hdgrw
鴸	hdhaf
鷍	hdhaf
穒	hdhaf
穆	hdhah
秾	hdhbv
秝	hdhd
秊	hdhj
秼	hdhjd
種	hdhjg
秳	hdhjr
秗	hdhk
穚	hdhkb
秃	hdhn
毇	hdhne
秅	hdhp
秪	hdhpm
秩	hdhqo
秏	hdhqu
稨	hdhsb
禿	hdhu
穳	hdhuc
秪	hdhvi
秖	hdhvp
籕	hdhw
稗	hdhwj
